%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1756813888776772000,821,1756813888776772000,map,-8.56857257183,-11.1088225387,0.0,0.0,0.0,0.789400670088,0.613878312099,0.048704092943,-0.0118412677366,0.0,0.0,0.0,0.0,-0.0118412677366,0.141086422203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147935069162
1756813460378266000,822,1756813460378266000,map,11.2561067674,9.76914909506,0.0,0.0,0.0,0.746527550513,0.665354504249,0.256332662325,0.0002161678986,0.0,0.0,0.0,0.0,0.0002161678986,0.253972347964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679479682192
1756813461112223000,823,1756813461112223000,map,11.2915567278,9.32459699021,0.0,0.0,0.0,0.747829567618,0.663890757427,0.16408266639,-0.0102798533575,0.0,0.0,0.0,0.0,-0.0102798533575,0.242554011327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0542039766464
1756813462845003000,824,1756813462845003000,map,11.5194479632,8.3603970895,0.0,0.0,0.0,0.787342990029,0.616515219643,0.216326735954,0.0139371262016,0.0,0.0,0.0,0.0,0.0139371262016,0.231204198064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654999153851
1756813464112269000,825,1756813464112269000,map,11.6135851691,7.59438458052,0.0,0.0,0.0,0.780689856117,0.624918673554,0.156934721681,0.0063872172588,0.0,0.0,0.0,0.0,0.0063872172588,0.21496273531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342756431644
1756813465178840000,826,1756813465178840000,map,11.6355496658,6.90212729185,0.0,0.0,0.0,0.780221330532,0.625503537466,0.0642493240734,-0.0137963639114,0.0,0.0,0.0,0.0,-0.0137963639114,0.19067965305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147225528535
1756813466045662000,827,1756813466045662000,map,11.7340661242,6.36895858263,0.0,0.0,0.0,0.779990866573,0.625790898034,0.0197013226133,-0.0259379275621,0.0,0.0,0.0,0.0,-0.0259379275621,0.18819235921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00680590181236
1756813466978916000,828,1756813466978916000,map,11.8502716683,5.77872270521,0.0,0.0,0.0,0.777741352628,0.628584432207,0.012174011283,-0.0260896237325,0.0,0.0,0.0,0.0,-0.0260896237325,0.185722680789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00420869241855
1756813467712273000,829,1756813467712273000,map,11.9440300778,5.35668019808,0.0,0.0,0.0,0.779033707696,0.626982043023,0.0102974217881,-0.0262517959832,0.0,0.0,0.0,0.0,-0.0262517959832,0.183733904482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00295001270899
1756813467978283000,830,1756813467978283000,map,11.9821363879,5.18654233398,0.0,0.0,0.0,0.777927619667,0.628353895954,0.00832151889688,-0.0261601908407,0.0,0.0,0.0,0.0,-0.0261601908407,0.186096874737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00389777741344
1756813469178370000,831,1756813469178370000,map,12.1376028059,4.39128270839,0.0,0.0,0.0,0.776892412871,0.629633368576,0.0109535001156,-0.0273141628783,0.0,0.0,0.0,0.0,-0.0273141628783,0.191535030285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00535005195327
1756813469978333000,832,1756813469978333000,map,12.2417261373,3.86896715384,0.0,0.0,0.0,0.773988953029,0.633199100275,0.0131536887001,-0.0271195559875,0.0,0.0,0.0,0.0,-0.0271195559875,0.186247990778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00407337300624
1756813470645015000,833,1756813470645015000,map,12.31117813,3.43692752798,0.0,0.0,0.0,0.771759710478,0.635914262525,0.0110991026802,-0.0283623083338,0.0,0.0,0.0,0.0,-0.0283623083338,0.188048857515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00210866097148
1756813471378400000,834,1756813471378400000,map,12.3849270297,3.01823380667,0.0,0.0,0.0,0.771699583237,0.635987227255,0.0102618685888,-0.0287511278817,0.0,0.0,0.0,0.0,-0.0287511278817,0.190457487216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00176890172431
1756813472045046000,835,1756813472045046000,map,12.4612002107,2.54797479524,0.0,0.0,0.0,0.771356344525,0.636403480318,0.00865321837935,-0.0288841487249,0.0,0.0,0.0,0.0,-0.0288841487249,0.196417366469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00146102650589
1756813472845910000,836,1756813472845910000,map,12.5518308216,2.04568326595,0.0,0.0,0.0,0.771940053494,0.635695330966,0.00823885032773,-0.0284493049949,0.0,0.0,0.0,0.0,-0.0284493049949,0.195603035517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00163468242931
1756813473512351000,837,1756813473512351000,map,12.6397620159,1.6106562481,0.0,0.0,0.0,0.77613271705,0.63056958817,0.00890170014648,-0.0285215421039,0.0,0.0,0.0,0.0,-0.0285215421039,0.193604263184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00183215059483
1756813474378861000,838,1756813474378861000,map,12.7353728585,1.09888443232,0.0,0.0,0.0,0.774597047856,0.632455068327,0.0095098454623,-0.0286776461302,0.0,0.0,0.0,0.0,-0.0286776461302,0.19594783145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00233212615073
1756813475045753000,839,1756813475045753000,map,12.8216515136,0.669248667595,0.0,0.0,0.0,0.780143506556,0.625600598768,0.00960516949431,-0.0292557971486,0.0,0.0,0.0,0.0,-0.0292557971486,0.19295691241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00192526040881
