%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1756813460378266000,0,1756813460378266000,map,10.9119136422,11.101277348,0.0,0.0,0.0,0.761611450648,0.648033948371,0.247658505791,0.000359969453044,0.0,0.0,0.0,0.0,0.000359969453044,0.242900989266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0671656724325
1756813461112223000,1,1756813461112223000,map,10.9635278903,10.7142714972,0.0,0.0,0.0,0.754492366926,0.656308820793,0.178058083801,-0.0164756420714,0.0,0.0,0.0,0.0,-0.0164756420714,0.239310408149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530753314037
1756813462845003000,2,1756813462845003000,map,11.1919098812,9.81486601875,0.0,0.0,0.0,0.797905927742,0.602781992494,0.225037497311,-0.0124005300922,0.0,0.0,0.0,0.0,-0.0124005300922,0.2664160586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696306542277
1756813464112269000,3,1756813464112269000,map,11.3110244977,9.03235267788,0.0,0.0,0.0,0.780462138488,0.625203047327,0.150886405952,-0.0183355898767,0.0,0.0,0.0,0.0,-0.0183355898767,0.278561932881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406548774792
1756813465178840000,4,1756813465178840000,map,11.4451390579,8.27857024849,0.0,0.0,0.0,0.789135379736,0.614219303221,0.0606631798748,-0.0266880321968,0.0,0.0,0.0,0.0,-0.0266880321968,0.276254202683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189007152218
1756813466045662000,5,1756813466045662000,map,11.5362968459,7.7403229787,0.0,0.0,0.0,0.784259671755,0.620432725812,0.0220638229029,-0.0366798519582,0.0,0.0,0.0,0.0,-0.0366798519582,0.280887069115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00805685598514
1756813466978916000,6,1756813466978916000,map,11.6660198633,7.09371217675,0.0,0.0,0.0,0.781309477999,0.624143813227,0.014733462821,-0.0380227610825,0.0,0.0,0.0,0.0,-0.0380227610825,0.27784645637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00479260140689
1756813467712273000,7,1756813467712273000,map,11.7588984909,6.62864521596,0.0,0.0,0.0,0.781368067628,0.624070463082,0.0122045435409,-0.0386726731248,0.0,0.0,0.0,0.0,-0.0386726731248,0.282775714233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00309498330664
1756813467978283000,8,1756813467978283000,map,11.792106315,6.45916170721,0.0,0.0,0.0,0.7759515278,0.630792538403,0.0107411674555,-0.0402594130524,0.0,0.0,0.0,0.0,-0.0402594130524,0.288803084247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00395679773569
1756813469178370000,9,1756813469178370000,map,11.9328825107,5.72501158996,0.0,0.0,0.0,0.772750564323,0.634709827668,0.0122387481987,-0.0400485385069,0.0,0.0,0.0,0.0,-0.0400485385069,0.295005524485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00502002343628
