frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,3.379239320755005,-4.718701362609863,-236.8583526611328,-0.24815161526203156,0.855201780796051,0.14483821392059326,94,0,32,0.04524143785238266,0.5434782608695653,0.3,120,126,wall,1,1,1,1,1,1
4,4.16690731048584,-7.174841403961182,-429.2858581542969,-0.006932794116437435,0.14767198264598846,0.022611141204833984,62,0,63,0.007237297482788563,0.5454545454545454,0.3,120,125,wall,1,1,1,1,1,1
8,0.711736798286438,-0.2093261331319809,-359.7995300292969,-0.014599560759961605,0.2547929286956787,0.006510734558105469,90,0,35,0.00968004297465086,0.5454545454545454,0.3,120,125,wall,1,1,1,1,1,1
12,2.92035174369812,-3.5241546630859375,-417.6973571777344,-0.00917056668549776,0.1862873136997223,0.018905162811279297,66,0,63,0.007901103235781193,0.5376344086021506,0.3,120,129,wall,1,1,1,1,1,1
16,0.996139407157898,-0.41003870964050293,-715.052490234375,-0.29047057032585144,1.1424458026885986,0.010264098644256592,12,0,114,0.03987257555127144,0.5434782608695653,0.3,120,126,wall,1,1,1,1,1,1
20,3.063253402709961,-3.877487897872925,-589.5804443359375,-1.6317739486694336,2.6483190059661865,0.1339157223701477,16,1,108,0.018548669293522835,0.5454545454545454,0.3,120,125,wall,1,1,1,1,1,1
24,1.3415223360061646,-0.7436702847480774,-397.6793212890625,-0.006730107590556145,0.12508080899715424,0.0282326340675354,62,0,62,0.033285532146692276,0.5474452554744526,0.3,120,124,wall,1,1,1,1,1,1
28,1.3103039264678955,-0.7094612717628479,-401.2120056152344,-0.01450717356055975,0.23787234723567963,0.0217626690864563,59,0,66,0.041325438767671585,0.5454545454545454,0.3,120,125,wall,1,1,1,1,1,1
32,1.2254815101623535,-0.6205804944038391,-541.4227294921875,-0.04428611695766449,0.44318950176239014,0.012501537799835205,54,6,67,0.030192824080586433,0.5415162454873647,0.3,120,127,wall,1,1,1,1,1,1
36,2.5859484672546387,-2.7632765769958496,-1169.010498046875,-1.055968999862671,1.4958293437957764,0.36999011039733887,34,0,126,0.04278983920812607,0.48387096774193555,0.3,120,160,wall,1,1,1,1,1,1
40,1.9103246927261353,-1.5079917907714844,-614.1417236328125,-0.0012783193960785866,0.07576300948858261,0.0008217692375183105,110,11,35,0.03136938810348511,0.49019607843137253,0.3,120,156,wall,1,1,1,1,1,1
44,1.2649540901184082,-0.6612019538879395,-383.9775390625,-0.0029314428102225065,0.09213849902153015,0.015999913215637207,111,2,18,0.03261839225888252,0.5338078291814947,0.3,120,131,wall,1,1,1,1,1,1
48,4.141872882843018,-7.088888645172119,-205.1604461669922,-0.03815552219748497,0.412168025970459,0.009947121143341064,106,0,24,0.039003800600767136,0.5357142857142857,0.3,120,130,wall,1,1,1,1,1,1
52,2.512813091278076,-2.6091856956481934,-568.3440551757812,-0.012730483897030354,0.2276235669851303,0.017264604568481445,76,5,55,0.04498254880309105,0.5244755244755245,0.3,120,136,wall,1,1,1,1,1,1
56,2.810405731201172,-3.2637932300567627,-284.7148132324219,-0.041622355580329895,0.3054448664188385,0.07154017686843872,92,0,47,0.04460965842008591,0.5190311418685121,0.3,120,139,wall,1,1,1,1,1,1
60,3.6792445182800293,-5.593735218048096,-384.23614501953125,-0.08037803322076797,0.5962256789207458,0.018396496772766113,100,8,28,0.05348539352416992,0.5244755244755245,0.3,120,136,wall,1,1,1,1,1,1
64,3.3908963203430176,-4.751312732696533,-347.2319641113281,-0.010035879909992218,0.18005938827991486,0.02633678913116455,95,1,43,0.22259867191314697,0.5190311418685121,0.3,120,139,wall,1,1,1,1,1,1
68,3.674190044403076,-5.578376770019531,-362.3476867675781,-0.1116282194852829,0.6995853781700134,0.02650904655456543,103,4,28,0.032340310513973236,0.5263157894736842,0.3,120,135,wall,1,1,1,1,1,1
72,0.2739461660385132,-0.031010949984192848,-413.40045166015625,-0.018044617027044296,0.27659130096435547,0.015993177890777588,71,1,60,0.03665072098374367,0.5319148936170213,0.3,120,132,wall,1,1,1,1,1,1
76,0.6791309118270874,-0.19058626890182495,-526.1736450195312,-0.09409385919570923,0.416505366563797,0.11665397882461548,98,0,37,0.04893038049340248,0.5263157894736842,0.3,120,135,wall,1,1,1,1,1,1
80,2.4259586334228516,-2.431931734085083,-563.8743896484375,-0.04627553001046181,0.39565083384513855,0.053054630756378174,88,10,34,0.049661677330732346,0.5319148936170213,0.3,120,132,wall,1,1,1,1,1,1
84,2.896211624145508,-3.466132640838623,-321.79931640625,-0.2559043765068054,1.0606619119644165,0.038031160831451416,104,0,32,0.037708599120378494,0.5244755244755245,0.3,120,136,wall,1,1,1,1,1,1
