frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,0.5839828252792358,-0.14092393219470978,-1107.705322265625,-0.9509584903717041,1.4095332622528076,0.3532923460006714,6,0,0,0.028364822268486023,0.95,0.3,0,6,wall,1,1,1,0,1,1
4,0.1428542137145996,-0.008432779461145401,-1079.3768310546875,-0.8858456015586853,1.416326642036438,0.32835596799850464,5,0,0,0.010368737392127514,0.95,0.3,0,5,wall,1,1,1,0,1,1
8,0.4665491282939911,-0.089945487678051,-3200.0,-2.1251614093780518,2.401867151260376,0.4545067548751831,0,0,5,0.010473482310771942,0.95,0.3,0,5,wall,1,1,1,0,1,1
12,0.43408089876174927,-0.07786206901073456,-957.1946411132812,-0.9253559112548828,1.4204686880111694,0.34184491634368896,9,0,0,0.01512325368821621,0.9433962264150942,0.3,0,9,wall,1,1,1,0,1,1
16,1.1784342527389526,-0.5738459229469299,-3200.0,-1.1358840465545654,2.25905704498291,0.021051108837127686,0,0,6,0.03284300118684769,0.95,0.3,0,6,wall,1,1,1,0,1,1
20,2.6789300441741943,-2.965564489364624,-3200.0,-0.5437930226325989,1.5600917339324951,0.026789963245391846,0,0,5,0.2727099061012268,0.95,0.3,0,5,wall,1,1,1,0,1,1
24,2.1772360801696777,-1.9588251113891602,-3200.0,-4.060215950012207,1.8514790534973145,0.8989542126655579,0,0,4,0.04731246083974838,0.95,0.3,0,4,wall,1,1,1,0,1,1
28,1.3709520101547241,-0.7766567468643188,-3200.0,-0.5352422595024109,1.5467109680175781,0.029767155647277832,0,0,5,0.030094627290964127,0.95,0.3,0,5,wall,1,1,1,0,1,1
32,3.347154140472412,-4.629520893096924,-3200.000244140625,-0.7163575291633606,1.7936952114105225,0.018470466136932373,0,0,7,0.059632785618305206,0.95,0.3,0,7,wall,1,1,1,0,1,1
36,1.8873122930526733,-1.4718791246414185,-3200.0,-0.7956140637397766,1.881787657737732,0.0461614727973938,0,0,40,0.05309319868683815,0.7894736842105263,0.3,0,40,wall,1,1,1,0,1,1
40,3.1840498447418213,-4.189327716827393,-3200.0,-0.7343709468841553,1.8028029203414917,0.05450761318206787,0,0,36,0.05538242310285568,0.8064516129032259,0.3,0,36,wall,1,1,1,0,1,1
44,4.521451473236084,-8.447736740112305,-3200.0,-0.767953634262085,1.858975887298584,4.887580871582031e-05,0,0,11,0.044778671115636826,0.9316770186335405,0.3,0,11,wall,1,1,1,0,1,1
48,1.29189932346344,-0.689670979976654,-3200.0,-1.8612548112869263,2.843106985092163,0.12617027759552002,0,0,10,0.05299816280603409,0.9375,0.3,0,10,wall,1,1,1,0,1,1
