frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,1.7406724691390991,-1.2520414590835571,-392.7358093261719,0.0,0.0,0.0,52,0,74,0.0480213426053524,0.5434782608695653,0.0,120,126,wall,1,1,0,1,1,1
4,2.607685089111328,-2.8099260330200195,-227.7420196533203,0.0,0.0,0.0,91,0,34,0.010339579544961452,0.5454545454545454,0.0,120,125,wall,1,1,0,1,1,1
8,1.2242203950881958,-0.6193038821220398,-520.888916015625,0.0,0.0,0.0,25,0,100,0.012392680160701275,0.5454545454545454,0.0,120,125,wall,1,1,0,1,1,1
12,1.4864507913589478,-0.913031280040741,-515.0551147460938,0.0,0.0,0.0,28,0,101,0.01781400851905346,0.5376344086021506,0.0,120,129,wall,1,1,0,1,1,1
16,0.7015727162361145,-0.2033901810646057,-203.32980346679688,0.0,0.0,0.0,96,0,30,0.05176001042127609,0.5434782608695653,0.0,120,126,wall,1,1,0,1,1,1
20,2.457716464996338,-2.496020555496216,-217.8675079345703,0.0,0.0,0.0,93,0,32,0.02922607772052288,0.5454545454545454,0.0,120,125,wall,1,1,0,1,1,1
24,0.6259022355079651,-0.16188165545463562,-297.7968444824219,0.0,0.0,0.0,87,0,37,0.02245640568435192,0.5474452554744526,0.0,120,124,wall,1,1,0,1,1,1
28,6.736915588378906,-18.754558563232422,-393.4945373535156,0.0,0.0,0.0,51,0,74,0.04751794412732124,0.5454545454545454,0.0,120,125,wall,1,1,0,1,1,1
32,3.320629835128784,-4.55643892288208,-453.6333312988281,0.0,0.0,0.0,61,1,65,0.037984445691108704,0.5415162454873647,0.0,120,127,wall,1,1,0,1,1,1
36,0.6594765782356262,-0.17971459031105042,-735.4662475585938,0.0,0.0,0.0,44,12,104,0.043657124042510986,0.48387096774193555,0.0,120,160,wall,1,1,0,1,1,1
40,0.11049751192331314,-0.0050453306175768375,-507.6714782714844,0.0,0.0,0.0,97,3,56,0.14716342091560364,0.49019607843137253,0.0,120,156,wall,1,1,0,1,1,1
44,2.0683202743530273,-1.767747402191162,-283.17333984375,0.0,0.0,0.0,95,0,36,0.04147552326321602,0.5338078291814947,0.0,120,131,wall,1,1,0,1,1,1
48,3.1433982849121094,-4.083038330078125,-258.0361328125,0.0,0.0,0.0,85,0,45,0.0359945148229599,0.5357142857142857,0.0,120,130,wall,1,1,0,1,1,1
52,3.5240137577056885,-5.131682395935059,-461.1041259765625,0.0,0.0,0.0,73,3,60,0.042957354336977005,0.5244755244755245,0.0,120,136,wall,1,1,0,1,1,1
56,4.92150354385376,-10.008758544921875,-343.9571228027344,0.0,0.0,0.0,69,0,70,0.027325771749019623,0.5190311418685121,0.0,120,139,wall,1,1,0,1,1,1
60,2.6200718879699707,-2.836684465408325,-270.0955810546875,0.0,0.0,0.0,99,3,34,0.03601782023906708,0.5244755244755245,0.0,120,136,wall,1,1,0,1,1,1
64,5.514721393585205,-12.567004203796387,-270.9687194824219,0.0,0.0,0.0,104,1,34,0.06401875615119934,0.5190311418685121,0.0,120,139,wall,1,1,0,1,1,1
68,3.4038548469543457,-4.787696838378906,-359.3595275878906,0.0,0.0,0.0,90,3,42,0.04351021349430084,0.5263157894736842,0.0,120,135,wall,1,1,0,1,1,1
72,1.8917375802993774,-1.4787895679473877,-395.6887512207031,0.0,0.0,0.0,64,0,68,0.08940928429365158,0.5319148936170213,0.0,120,132,wall,1,1,0,1,1,1
76,2.1646010875701904,-1.9361560344696045,-400.7131042480469,0.0,0.0,0.0,93,7,35,0.08860010653734207,0.5263157894736842,0.0,120,135,wall,1,1,0,1,1,1
80,3.766690969467163,-5.862793445587158,-351.6554870605469,0.0,0.0,0.0,86,2,44,0.06652611494064331,0.5319148936170213,0.0,120,132,wall,1,1,0,1,1,1
84,1.873570442199707,-1.4505231380462646,-348.24298095703125,0.0,0.0,0.0,92,0,44,0.05643339082598686,0.5244755244755245,0.0,120,136,wall,1,1,0,1,1,1
88,2.5669262409210205,-2.7227728366851807,-338.3724670410156,0.0,0.0,0.0,86,3,38,0.16930101811885834,0.5415162454873647,0.0,120,127,wall,1,1,0,1,1,1
92,2.5076911449432373,-2.598559856414795,-243.33956909179688,0.0,0.0,0.0,86,0,40,0.03503197059035301,0.5434782608695653,0.0,120,126,wall,1,1,0,1,1,1
96,1.8059816360473633,-1.347756028175354,-265.4421691894531,0.0,0.0,0.0,107,0,31,0.07042179256677628,0.5208333333333334,0.0,120,138,wall,1,1,0,1,1,1
100,5.124815940856934,-10.852784156799316,-458.9149475097656,0.0,0.0,0.0,111,0,36,0.04022430256009102,0.5050505050505051,0.0,120,147,wall,1,1,0,1,1,1
104,1.7169231176376343,-1.218109369277954,-227.9060516357422,0.0,0.0,0.0,101,0,34,0.044981446117162704,0.5263157894736842,0.0,120,135,wall,1,1,0,1,1,1
108,4.337082386016846,-7.772843837738037,-378.83258056640625,0.0,0.0,0.0,89,4,39,0.05778603255748749,0.5319148936170213,0.0,120,132,wall,1,1,0,1,1,1
112,3.088054656982422,-3.9405293464660645,-264.4576416015625,0.0,0.0,0.0,76,0,44,0.03492797538638115,0.5555555555555556,0.0,120,120,wall,1,1,0,1,1,1
116,0.547776460647583,-0.12399133294820786,-308.11492919921875,0.0,0.0,0.0,70,0,51,0.03130979835987091,0.5535055350553506,0.0,120,121,wall,1,1,0,1,1,1
120,3.7676045894622803,-5.86563777923584,-294.6933288574219,0.0,0.0,0.0,75,0,45,0.023869460448622704,0.5555555555555556,0.0,120,120,wall,1,1,0,1,1,1
124,3.5959818363189697,-5.343423366546631,-302.3009338378906,0.0,0.0,0.0,76,0,49,0.09576884657144547,0.5454545454545454,0.0,120,125,wall,1,1,0,1,1,1
128,1.668410301208496,-1.150244951248169,-395.7525329589844,0.0,0.0,0.0,76,1,59,0.03241722658276558,0.5244755244755245,0.0,120,136,wall,1,1,0,1,1,1
132,2.4079174995422363,-2.39589524269104,-366.6120300292969,0.0,0.0,0.0,63,0,62,0.05170808359980583,0.5454545454545454,0.0,120,125,wall,1,1,0,1,1,1
136,3.7604122161865234,-5.843264102935791,-650.922607421875,0.0,0.0,0.0,72,0,75,0.04097578674554825,0.5050505050505051,0.0,120,147,wall,1,1,0,1,1,1
140,2.0437445640563965,-1.7259882688522339,-622.0178833007812,0.0,0.0,0.0,68,9,64,0.027003835886716843,0.5154639175257733,0.0,120,141,wall,1,1,0,1,1,1
144,2.6031975746154785,-2.8002634048461914,-821.2557983398438,0.0,0.0,0.0,44,17,85,0.051071811467409134,0.5067567567567568,0.0,120,146,wall,1,1,0,1,1,1
148,1.017479658126831,-0.4277953803539276,-554.9314575195312,0.0,0.0,0.0,59,4,72,0.14568373560905457,0.5263157894736842,0.0,120,135,wall,1,1,0,1,1,1
152,1.1119966506958008,-0.5109654664993286,-467.7505187988281,0.0,0.0,0.0,65,0,67,0.0856948271393776,0.5319148936170213,0.0,120,132,wall,1,1,0,1,1,1
156,1.6743190288543701,-1.1584066152572632,-455.14569091796875,0.0,0.0,0.0,57,0,63,0.0702052116394043,0.5555555555555556,0.0,120,120,wall,1,1,0,1,1,1
160,2.085284948348999,-1.7968649864196777,-623.6306762695312,0.0,0.0,0.0,48,3,75,0.06740128248929977,0.5434782608695653,0.0,120,126,wall,1,1,0,1,1,1
164,2.8492660522460938,-3.3546760082244873,-536.5068359375,0.0,0.0,0.0,56,6,72,0.06439223140478134,0.528169014084507,0.0,120,134,wall,1,1,0,1,1,1
168,0.05972747132182121,-0.0014741200720891356,-446.0310363769531,0.0,0.0,0.0,55,1,72,0.055326350033283234,0.539568345323741,0.0,120,128,wall,1,1,0,1,1,1
172,3.3414485454559326,-4.61375093460083,-497.6275329589844,0.0,0.0,0.0,56,4,75,0.039441417902708054,0.5263157894736842,0.0,120,135,wall,1,1,0,1,1,1
176,1.8595314025878906,-1.4288665056228638,-613.384033203125,0.0,0.0,0.0,132,0,16,0.02596479468047619,0.5033557046979865,0.0,120,148,wall,1,1,0,1,1,1
180,1.3413747549057007,-0.743506669998169,-432.0055236816406,0.0,0.0,0.0,119,7,14,0.10706169903278351,0.5172413793103449,0.0,120,140,wall,1,1,0,1,1,1
184,4.755865573883057,-9.346386909484863,-551.7694702148438,0.0,0.0,0.0,66,9,74,0.03323501721024513,0.5016722408026756,0.0,120,149,wall,1,1,0,1,1,1
188,2.778442144393921,-3.1899755001068115,-413.3868713378906,0.0,0.0,0.0,124,8,18,0.017883863300085068,0.5,0.0,120,150,wall,1,1,0,1,1,1
192,0.7157433032989502,-0.21168942749500275,-519.9178466796875,0.0,0.0,0.0,113,11,26,0.014864771626889706,0.5,0.0,120,150,wall,1,1,0,1,1,1
196,1.9773510694503784,-1.6156682968139648,-310.2345886230469,0.0,0.0,0.0,116,0,18,0.026195881888270378,0.528169014084507,0.0,120,134,wall,1,1,0,1,1,1
200,1.6092002391815186,-1.0700517892837524,-499.95068359375,0.0,0.0,0.0,51,0,82,0.02381892129778862,0.5300353356890459,0.0,120,133,wall,1,1,0,1,1,1
204,3.6014556884765625,-5.359703540802002,-375.6551818847656,0.0,0.0,0.0,61,0,75,0.01584792695939541,0.5244755244755245,0.0,120,136,wall,1,1,0,1,1,1
208,2.8765971660614014,-3.4193429946899414,-415.2923278808594,0.0,0.0,0.0,110,0,24,0.012026196345686913,0.528169014084507,0.0,120,134,wall,1,1,0,1,1,1
212,3.040215015411377,-3.819383144378662,-362.90673828125,0.0,0.0,0.0,62,0,75,0.012835604138672352,0.5226480836236934,0.0,120,137,wall,1,1,0,1,1,1
216,0.530521035194397,-0.11630270630121231,-341.083251953125,0.0,0.0,0.0,57,0,63,0.006944899447262287,0.5555555555555556,0.0,120,120,wall,1,1,0,1,1,1
220,0.4798625409603119,-0.09515208750963211,-157.82643127441406,0.0,0.0,0.0,106,0,14,0.016993382945656776,0.5555555555555556,0.0,120,120,wall,1,1,0,1,1,1
224,2.5549380779266357,-2.6974000930786133,-272.34173583984375,0.0,0.0,0.0,114,0,13,0.007504391483962536,0.5415162454873647,0.0,120,127,wall,1,1,0,1,1,1
228,3.3252294063568115,-4.569070339202881,-246.48419189453125,0.0,0.0,0.0,124,0,6,0.025678344070911407,0.5357142857142857,0.0,120,130,wall,1,1,0,1,1,1
232,1.3436710834503174,-0.746054470539093,-285.69464111328125,0.0,0.0,0.0,136,2,17,0.05140303820371628,0.49180327868852464,0.0,120,155,wall,1,1,0,1,1,1
236,2.2516679763793945,-2.0950448513031006,-141.61309814453125,0.0,0.0,0.0,121,0,4,0.023349134251475334,0.5454545454545454,0.0,100,125,wall,1,1,0,1,1,1
240,1.634186863899231,-1.1035399436950684,0.0,0.0,0.0,0.0,0,0,0,0.00735766626894474,0.5,0.0,0,0,wall,1,1,0,1,1,1
244,3.0579748153686523,-3.864135980606079,0.0,0.0,0.0,0.0,0,0,0,0.0073202792555093765,0.5,0.0,0,0,wall,1,1,0,1,1,1
248,0.6869011521339417,-0.19497238099575043,-371.9568176269531,0.0,0.0,0.0,46,0,51,0.008469730615615845,0.6072874493927126,0.0,97,97,wall,1,1,0,1,1,1
252,0.7571821212768555,-0.23691104352474213,0.0,0.0,0.0,0.0,0,0,0,0.0068408427760005,0.5,0.0,0,0,wall,1,1,0,1,1,1
256,2.1814017295837402,-1.9663277864456177,-624.2617797851562,0.0,0.0,0.0,3,0,117,0.01906183920800686,0.5555555555555556,0.0,120,120,wall,1,1,0,1,1,1
260,4.083537578582764,-6.890611171722412,-886.0886840820312,0.0,0.0,0.0,1,0,132,0.029011577367782593,0.5300353356890459,0.0,120,133,wall,1,1,0,1,1,1
264,1.8460228443145752,-1.40818190574646,-740.5182495117188,0.0,0.0,0.0,31,2,127,0.08989579230546951,0.48387096774193555,0.0,120,160,wall,1,1,0,1,1,1
268,4.8506951332092285,-9.722826957702637,-754.7811889648438,0.0,0.0,0.0,58,0,75,0.02498091757297516,0.5300353356890459,0.0,88,133,wall,1,1,0,1,1,1
272,2.987658977508545,-3.6884734630584717,-545.3028564453125,0.0,0.0,0.0,65,8,78,0.01725734956562519,0.4983388704318937,0.0,120,151,wall,1,1,0,1,1,1
276,3.4892337322235107,-5.03088903427124,-557.0982055664062,0.0,0.0,0.0,90,14,35,0.04693242162466049,0.5190311418685121,0.0,113,139,wall,1,1,0,1,1,1
280,4.251899719238281,-7.470516681671143,-756.0057983398438,0.0,0.0,0.0,89,21,49,0.1464758664369583,0.4854368932038835,0.0,105,159,wall,1,1,0,1,1,1
284,2.6035470962524414,-2.8010153770446777,-159.10887145996094,0.0,0.0,0.0,149,0,26,0.03936126083135605,0.46153846153846145,0.0,120,175,wall,1,1,0,1,1,1
288,1.7269377708435059,-1.232361078262329,-364.52716064453125,0.0,0.0,0.0,101,9,23,0.038736023008823395,0.5300353356890459,0.0,120,133,wall,1,1,0,1,1,1
292,3.1572561264038086,-4.1191182136535645,-153.3753204345703,0.0,0.0,0.0,116,0,14,0.03834342211484909,0.5357142857142857,0.0,120,130,wall,1,1,0,1,1,1
296,1.974677324295044,-1.6113017797470093,-128.43353271484375,0.0,0.0,0.0,117,0,12,0.06116112321615219,0.5376344086021506,0.0,120,129,wall,1,1,0,1,1,1
300,1.6702747344970703,-1.1528171300888062,-93.57630920410156,0.0,0.0,0.0,126,0,7,0.04236256331205368,0.5300353356890459,0.0,120,133,wall,1,1,0,1,1,1
304,1.8534425497055054,-1.4195244312286377,-181.23135375976562,0.0,0.0,0.0,120,4,2,0.032013729214668274,0.5434782608695653,0.0,120,126,wall,1,1,0,1,1,1
308,3.754403829574585,-5.824605941772461,-111.75257110595703,0.0,0.0,0.0,125,1,4,0.1029687449336052,0.5357142857142857,0.0,120,130,wall,1,1,0,1,1,1
312,6.114492416381836,-15.449179649353027,-330.427734375,0.0,0.0,0.0,128,0,14,0.03761071339249611,0.5136986301369862,0.0,120,142,wall,1,1,0,1,1,1
316,0.9004001617431641,-0.335008442401886,-635.4461669921875,0.0,0.0,0.0,130,16,16,0.029056742787361145,0.4807692307692307,0.0,120,162,wall,1,1,0,1,1,1
320,4.030056953430176,-6.711305141448975,-1204.717529296875,0.0,0.0,0.0,112,30,35,0.030107982456684113,0.4587155963302753,0.0,98,177,wall,1,1,0,1,1,1
324,1.2065285444259644,-0.6015334725379944,-261.8511657714844,0.0,0.0,0.0,145,6,3,0.08171087503433228,0.49342105263157904,0.0,120,154,wall,1,1,0,1,1,1
328,3.654456377029419,-5.51861572265625,-39.6112174987793,0.0,0.0,0.0,125,0,0,0.06667813658714294,0.5454545454545454,0.0,120,125,wall,1,1,0,1,1,1
332,0.8012859225273132,-0.26531368494033813,-390.311279296875,0.0,0.0,0.0,118,0,19,0.033245448023080826,0.5226480836236934,0.0,120,137,wall,1,1,0,1,1,1
336,4.1155524253845215,-6.999078273773193,-391.347412109375,0.0,0.0,0.0,133,12,4,0.03227951005101204,0.5016722408026756,0.0,120,149,wall,1,1,0,1,1,1
340,1.5513633489608765,-0.9945157766342163,-884.1713256835938,0.0,0.0,0.0,126,45,4,0.02766350843012333,0.46153846153846145,0.0,120,175,wall,1,1,0,1,1,1
344,4.542779445648193,-8.527621269226074,-679.6689453125,0.0,0.0,0.0,131,23,25,0.028652967885136604,0.45592705167173253,0.0,120,179,wall,1,1,0,1,1,1
348,0.6580870747566223,-0.17895808815956116,-944.6639404296875,0.0,0.0,0.0,116,48,26,0.016992421820759773,0.4411764705882353,0.0,120,190,wall,1,1,0,1,1,1
352,1.082457423210144,-0.4841793477535248,-978.3470458984375,0.0,0.0,0.0,128,36,30,0.01498655416071415,0.43604651162790703,0.0,120,194,wall,1,1,0,1,1,1
356,2.7571606636047363,-3.1412951946258545,-699.066162109375,0.0,0.0,0.0,124,13,54,0.02246498130261898,0.4398826979472141,0.0,120,191,wall,1,1,0,1,1,1
360,2.10619854927063,-1.833087682723999,-642.8309326171875,0.0,0.0,0.0,104,0,40,0.04381599649786949,0.5102040816326531,0.0,120,144,wall,1,1,0,1,1,1
364,1.2122560739517212,-0.607258141040802,0.0,0.0,0.0,0.0,0,0,0,0.02448916807770729,0.5,0.0,0,0,wall,1,1,0,1,1,1
368,3.937019109725952,-6.405007362365723,0.0,0.0,0.0,0.0,0,0,0,0.025919388979673386,0.5,0.0,0,0,wall,1,1,0,1,1,1
372,1.0355567932128906,-0.44313135743141174,0.0,0.0,0.0,0.0,0,0,0,0.019637413322925568,0.5,0.0,0,0,wall,1,1,0,1,1,1
376,2.1440236568450928,-1.8995195627212524,0.0,0.0,0.0,0.0,0,0,0,0.016488073393702507,0.5,0.0,0,0,wall,1,1,0,1,1,1
380,0.3773112893104553,-0.05882801488041878,0.0,0.0,0.0,0.0,0,0,0,0.007024119142442942,0.5,0.0,0,0,wall,1,1,0,1,1,1
384,0.8996694087982178,-0.3344648778438568,0.0,0.0,0.0,0.0,0,0,0,0.008173166774213314,0.5,0.0,0,0,wall,1,1,0,1,1,1
388,0.6459878087043762,-0.1724381148815155,0.0,0.0,0.0,0.0,0,0,0,0.007205097936093807,0.5,0.0,0,0,wall,1,1,0,1,1,1
392,1.1390725374221802,-0.5361512899398804,0.0,0.0,0.0,0.0,0,0,0,0.010023169219493866,0.5,0.0,0,0,wall,1,1,0,1,1,1
396,0.3922501802444458,-0.06357859075069427,0.0,0.0,0.0,0.0,0,0,0,0.008320881053805351,0.5,0.0,0,0,wall,1,1,0,1,1,1
400,1.2068707942962646,-0.601874828338623,0.0,0.0,0.0,0.0,0,0,0,0.008809528313577175,0.5,0.0,0,0,wall,1,1,0,1,1,1
404,0.4189245104789734,-0.07251972705125809,-815.15185546875,0.0,0.0,0.0,8,5,77,0.029943497851490974,0.625,0.0,74,90,wall,1,1,0,1,1,1
408,0.6277575492858887,-0.1628427803516388,-500.2802429199219,0.0,0.0,0.0,64,0,82,0.030037129297852516,0.5067567567567568,0.0,117,146,wall,1,1,0,1,1,1
412,2.24759578704834,-2.0874738693237305,-372.03460693359375,0.0,0.0,0.0,91,0,44,0.015677956864237785,0.5263157894736842,0.0,120,135,wall,1,1,0,1,1,1
416,1.8953278064727783,-1.4844080209732056,-375.31402587890625,0.0,0.0,0.0,75,0,66,0.011380930431187153,0.5154639175257733,0.0,120,141,wall,1,1,0,1,1,1
420,2.6842520236968994,-2.977358818054199,-375.09918212890625,0.0,0.0,0.0,111,7,19,0.01474657654762268,0.5226480836236934,0.0,120,137,wall,1,1,0,1,1,1
424,1.043018102645874,-0.44953998923301697,-483.6367492675781,0.0,0.0,0.0,137,11,27,0.01941826194524765,0.46153846153846145,0.0,120,175,wall,1,1,0,1,1,1
428,1.102266788482666,-0.5020627975463867,-326.948486328125,0.0,0.0,0.0,145,9,8,0.061713483184576035,0.4807692307692307,0.0,120,162,wall,1,1,0,1,1,1
432,1.3322659730911255,-0.7334432005882263,-294.5025634765625,0.0,0.0,0.0,159,1,13,0.019253913313150406,0.46439628482972134,0.0,120,173,wall,1,1,0,1,1,1
