frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,0.0,0.0,-236.8583526611328,-0.24815161526203156,0.855201780796051,0.14483821392059326,94,0,32,0.14535307884216309,0.0,0.3,120,126,wall,0,1,1,1,1,1
4,0.0,0.0,-241.39833068847656,-0.22551476955413818,0.8369698524475098,0.13081198930740356,91,0,34,0.00862249918282032,0.0,0.3,120,125,wall,0,1,1,1,1,1
8,0.0,0.0,-356.1787414550781,-0.009299252182245255,0.20409126579761505,0.0032448172569274902,95,0,30,0.022946059703826904,0.0,0.3,120,125,wall,0,1,1,1,1,1
12,0.0,0.0,-394.8779602050781,-0.014699081890285015,0.2570509910583496,0.001961350440979004,92,0,37,0.02053753100335598,0.0,0.3,120,129,wall,0,1,1,1,1,1
16,0.0,0.0,-206.87820434570312,-0.3146730661392212,1.1899696588516235,0.00022864341735839844,113,0,13,0.03299732506275177,0.0,0.3,120,126,wall,0,1,1,1,1,1
20,0.0,0.0,-169.4975128173828,-0.2924402058124542,1.1471620798110962,6.568431854248047e-05,113,0,12,0.32486364245414734,0.0,0.3,120,125,wall,0,1,1,1,1,1
24,0.0,0.0,-176.43138122558594,-0.27833032608032227,1.1191446781158447,0.00029200315475463867,111,0,13,0.044643424451351166,0.0,0.3,120,124,wall,0,1,1,1,1,1
28,0.0,0.0,-114.86714935302734,-0.262402206659317,1.0866501331329346,0.0002665519714355469,112,0,13,0.044754497706890106,0.0,0.3,120,125,wall,0,1,1,1,1,1
32,0.0,0.0,-168.43702697753906,-0.22245678305625916,0.9996088743209839,0.0100022554397583,102,0,25,0.03970128297805786,0.0,0.3,120,127,wall,0,1,1,1,1,1
36,0.0,0.0,-475.65997314453125,-0.1790386289358139,0.8975254893302917,0.002575218677520752,120,9,31,0.05585331842303276,0.0,0.3,120,160,wall,0,1,1,1,1,1
40,0.0,0.0,-377.0084228515625,-0.19394677877426147,0.9341765642166138,0.0020161867141723633,118,9,29,0.0494154617190361,0.0,0.3,120,156,wall,0,1,1,1,1,1
44,0.0,0.0,-213.39027404785156,-0.19113785028457642,0.9271562695503235,0.005225777626037598,103,2,26,0.07055439054965973,0.0,0.3,120,131,wall,0,1,1,1,1,1
48,0.0,0.0,-79.57874298095703,-0.1580846905708313,0.8428485989570618,0.007331728935241699,124,0,6,0.09442254155874252,0.0,0.3,120,130,wall,0,1,1,1,1,1
52,0.0,0.0,-99.37169647216797,-0.22484943270683289,1.0058664083480835,0.001733541488647461,126,0,10,0.03992997109889984,0.0,0.3,120,136,wall,0,1,1,1,1,1
56,0.0,0.0,-138.41526794433594,-0.16921782493591309,0.8717231154441833,0.00927191972732544,122,0,17,0.05634606257081032,0.0,0.3,120,139,wall,0,1,1,1,1,1
60,0.0,0.0,-75.41871643066406,-0.08947823196649551,0.634428083896637,0.0028867721557617188,132,0,4,0.04640888050198555,0.0,0.3,120,136,wall,0,1,1,1,1,1
64,0.0,0.0,-152.064697265625,-0.04427431523799896,0.44167667627334595,0.015042543411254883,133,1,5,0.028008325025439262,0.0,0.3,120,139,wall,0,1,1,1,1,1
68,0.0,0.0,-122.4595718383789,-0.07172635942697525,0.5681057572364807,0.0011533498764038086,129,0,6,0.025926869362592697,0.0,0.3,120,135,wall,0,1,1,1,1,1
72,0.0,0.0,-142.1885986328125,-0.0530860535800457,0.4887605607509613,0.00013744831085205078,126,0,6,0.028316494077444077,0.0,0.3,120,132,wall,0,1,1,1,1,1
76,0.0,0.0,-146.97836303710938,-0.04355896636843681,0.4427362084388733,1.990795135498047e-05,130,0,5,0.03434808552265167,0.0,0.3,120,135,wall,0,1,1,1,1,1
80,0.0,0.0,-160.44029235839844,-0.04541037231683731,0.45186322927474976,0.0030089616775512695,127,0,5,0.04610457271337509,0.0,0.3,120,132,wall,0,1,1,1,1,1
84,0.0,0.0,-221.47650146484375,-0.056284647434949875,0.5029575228691101,0.004138946533203125,124,0,12,0.04250355437397957,0.0,0.3,120,136,wall,0,1,1,1,1,1
88,0.0,0.0,-213.0589141845703,-0.07686115801334381,0.5725270509719849,0.03138136863708496,118,3,6,0.04856560006737709,0.0,0.3,120,127,wall,0,1,1,1,1,1
92,0.0,0.0,-251.74099731445312,-0.06788492202758789,0.5243359208106995,0.04078596830368042,103,0,23,0.033501315861940384,0.0,0.3,120,126,wall,0,1,1,1,1,1
96,0.0,0.0,-221.50840759277344,-0.026548760011792183,0.3437711000442505,0.00838327407836914,134,3,1,0.04143018648028374,0.0,0.3,120,138,wall,0,1,1,1,1,1
100,0.0,0.0,-215.4747772216797,-0.07172393798828125,0.5679301023483276,0.0034061074256896973,141,3,3,0.03542628139257431,0.0,0.3,120,147,wall,0,1,1,1,1,1
104,0.0,0.0,-173.5508575439453,-0.020149024203419685,0.3010663390159607,0.0012709498405456543,135,0,0,0.031828440725803375,0.0,0.3,120,135,wall,0,1,1,1,1,1
108,0.0,0.0,-267.13958740234375,-6.981724436627701e-05,0.013974816538393497,0.002544105052947998,126,0,6,0.07391562312841415,0.0,0.3,120,132,wall,0,1,1,1,1,1
112,0.0,0.0,-121.49824523925781,-0.040509872138500214,0.42588865756988525,0.007051408290863037,120,0,0,0.03149811550974846,0.0,0.3,120,120,wall,0,1,1,1,1,1
116,0.0,0.0,-140.83731079101562,-0.022473052144050598,0.29898226261138916,0.0252801775932312,121,0,0,0.03438723087310791,0.0,0.3,120,121,wall,0,1,1,1,1,1
120,0.0,0.0,-94.95138549804688,-0.08787502348423004,0.6084266901016235,0.037080585956573486,120,0,0,0.02620651200413704,0.0,0.3,120,120,wall,0,1,1,1,1,1
124,0.0,0.0,-152.74603271484375,-0.032666850835084915,0.3751084506511688,0.01851212978363037,125,0,0,0.042620327323675156,0.0,0.3,120,125,wall,0,1,1,1,1,1
128,0.0,0.0,-446.8763427734375,-0.1699301302433014,0.7929905652999878,0.08600211143493652,119,12,5,0.06082228198647499,0.0,0.3,120,136,wall,0,1,1,1,1,1
132,0.0,0.0,-112.43689727783203,-0.14965680241584778,0.8197664022445679,0.00885009765625,125,0,0,0.03191995620727539,0.0,0.3,120,125,wall,0,1,1,1,1,1
136,0.0,0.0,-122.20636749267578,-0.09368473291397095,0.6449322700500488,0.017529010772705078,147,0,0,0.029748734086751938,0.0,0.3,120,147,wall,0,1,1,1,1,1
140,0.0,0.0,-109.62266540527344,-0.1368287056684494,0.7846022844314575,0.002643764019012451,139,0,2,0.0551222562789917,0.0,0.3,120,141,wall,0,1,1,1,1,1
144,0.0,0.0,-168.4288330078125,-0.1809837371110916,0.9024549722671509,0.00031632184982299805,141,2,3,0.06722640991210938,0.0,0.3,120,146,wall,0,1,1,1,1,1
148,0.0,0.0,-139.700927734375,-0.11850760877132416,0.7300868034362793,0.0037442445755004883,130,0,5,0.0358380489051342,0.0,0.3,120,135,wall,0,1,1,1,1,1
152,0.0,0.0,-124.5765609741211,-0.07112965732812881,0.5649932026863098,0.0068669915199279785,131,0,1,0.03926105052232742,0.0,0.3,120,132,wall,0,1,1,1,1,1
156,0.0,0.0,-96.28236389160156,-0.1568380445241928,0.8386878371238708,0.01136857271194458,118,0,2,0.023694554343819618,0.0,0.3,120,120,wall,0,1,1,1,1,1
160,0.0,0.0,-102.85281372070312,-0.03986508399248123,0.4119194746017456,0.022998690605163574,125,0,1,0.030188867822289467,0.0,0.3,120,126,wall,0,1,1,1,1,1
164,0.0,0.0,-152.22750854492188,-0.03856533020734787,0.39587485790252686,0.030267834663391113,131,0,3,0.034177158027887344,0.0,0.3,120,134,wall,0,1,1,1,1,1
168,0.0,0.0,-88.12653350830078,-0.05934489518404007,0.5060163736343384,0.024471580982208252,126,0,2,0.04349854215979576,0.0,0.3,120,128,wall,0,1,1,1,1,1
172,0.0,0.0,-96.88021850585938,-0.04136200249195099,0.3506471812725067,0.058647751808166504,135,0,0,0.0288164634257555,0.0,0.3,120,135,wall,0,1,1,1,1,1
176,0.0,0.0,-59.59961700439453,-0.08295752853155136,0.6071262955665588,0.016007661819458008,148,0,0,0.029614506289362907,0.0,0.3,120,148,wall,0,1,1,1,1,1
180,0.0,0.0,-185.2082977294922,-0.045318931341171265,0.451591819524765,3.6597251892089844e-05,139,1,0,0.04202611744403839,0.0,0.3,120,140,wall,0,1,1,1,1,1
184,0.0,0.0,-244.5699005126953,-0.03232159465551376,0.3787357807159424,0.01045161485671997,146,3,0,0.029862208291888237,0.0,0.3,120,149,wall,0,1,1,1,1,1
188,0.0,0.0,-238.5952606201172,-0.027400722727179527,0.3491338789463043,0.00875788927078247,146,4,0,0.026433778926730156,0.0,0.3,120,150,wall,0,1,1,1,1,1
