frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,2.41797137260437,-2.4159443378448486,-333.08172607421875,-0.07541809976100922,0.569431483745575,0.02870023250579834,70,0,56,0.048443786799907684,0.5434782608695653,0.3,120,126,wall,1,1,1,1,1,0
4,0.3252847492694855,-0.0437232069671154,-472.83074951171875,-0.6401397585868835,1.3764904737472534,0.23168283700942993,44,0,81,0.008767476305365562,0.5454545454545454,0.3,120,125,wall,1,1,1,1,1,0
8,3.1180813312530518,-4.017533302307129,-319.4501037597656,-0.07262399047613144,0.567659318447113,0.015775203704833984,73,0,52,0.008996245451271534,0.5454545454545454,0.3,120,125,wall,1,1,1,1,1,0
12,0.6349379420280457,-0.16658931970596313,-487.2538757324219,-0.6582055687904358,1.3908551931381226,0.23651379346847534,46,0,83,0.011592717841267586,0.5376344086021506,0.3,120,129,wall,1,1,1,1,1,0
16,1.5993504524230957,-1.0569924116134644,-516.0689086914062,-0.46582525968551636,1.447698712348938,0.004561007022857666,52,0,74,0.02472555637359619,0.5434782608695653,0.3,120,126,wall,1,1,1,1,1,0
20,2.266710042953491,-2.1231298446655273,-336.18212890625,-0.06027925759553909,0.5165078639984131,0.01561117172241211,70,0,55,0.1124422550201416,0.5454545454545454,0.3,120,125,wall,1,1,1,1,1,0
24,4.691449165344238,-9.094914436340332,-325.8097229003906,-0.05643822252750397,0.49892371892929077,0.016576707363128662,72,0,52,0.03607533872127533,0.5474452554744526,0.3,120,124,wall,1,1,1,1,1,0
28,0.3876696825027466,-0.062102384865283966,-644.97802734375,-0.13494504988193512,0.7407116889953613,0.05648350715637207,22,0,103,0.03315696865320206,0.5454545454545454,0.3,120,125,wall,1,1,1,1,1,0
32,4.0338287353515625,-6.723873138427734,-485.5928955078125,-0.1526419222354889,0.8287351727485657,0.0021725893020629883,66,0,61,0.024663003161549568,0.5415162454873647,0.3,120,127,wall,1,1,1,1,1,0
36,3.2381677627563477,-4.332946300506592,-921.2128295898438,-0.04385688900947571,0.3417327404022217,0.06623327732086182,64,30,66,0.032914772629737854,0.48387096774193555,0.3,120,160,wall,1,1,1,1,1,0
40,1.4309377670288086,-0.8461085557937622,-841.9619750976562,-0.0496966689825058,0.4728236794471741,0.0019906163215637207,77,22,57,0.16799353063106537,0.49019607843137253,0.3,120,156,wall,1,1,1,1,1,0
44,3.654953718185425,-5.520118236541748,-358.431884765625,-0.20838254690170288,0.2360047549009323,0.2191375494003296,79,2,50,0.028898825868964195,0.5338078291814947,0.3,120,131,wall,1,1,1,1,1,0
48,4.951982498168945,-10.133111000061035,-360.7723693847656,-0.0525829941034317,0.4637422263622284,0.03426635265350342,65,0,65,0.050432365387678146,0.5357142857142857,0.3,120,130,wall,1,1,1,1,1,0
52,2.606113910675049,-2.8065409660339355,-468.7310485839844,-0.032272227108478546,0.3759493827819824,0.014547526836395264,81,3,52,0.09323091804981232,0.5244755244755245,0.3,120,136,wall,1,1,1,1,1,0
56,0.9637083411216736,-0.3837742507457733,-279.6707458496094,-0.0347544327378273,0.2975563108921051,0.06078106164932251,94,0,45,0.03151826933026314,0.5190311418685121,0.3,120,139,wall,1,1,1,1,1,0
60,4.312230587005615,-7.684021472930908,-367.17852783203125,-0.014515256509184837,0.24757227301597595,0.01480633020401001,87,0,49,0.06636212766170502,0.5244755244755245,0.3,120,136,wall,1,1,1,1,1,0
64,3.2390482425689697,-4.335302829742432,-415.08990478515625,-0.009852845221757889,0.18831883370876312,0.021980226039886475,92,4,43,0.09013732522726059,0.5190311418685121,0.3,120,139,wall,1,1,1,1,1,0
68,3.3055553436279297,-4.515163421630859,-592.2514038085938,-0.00936459843069315,0.20525778830051422,0.0007353425025939941,95,15,25,0.04245654121041298,0.5263157894736842,0.3,120,135,wall,1,1,1,1,1,0
72,0.574139416217804,-0.1362132430076599,-512.6329956054688,-0.03030673786997795,0.3688127100467682,0.004411756992340088,96,12,24,0.04129556566476822,0.5319148936170213,0.3,120,132,wall,1,1,1,1,1,0
76,7.8948073387146,-25.75536346435547,-442.7850646972656,-0.003704753005877137,0.12789024412631989,0.0041443705558776855,84,0,51,0.04355541616678238,0.5263157894736842,0.3,120,135,wall,1,1,1,1,1,0
80,0.6132842898368835,-0.15542049705982208,-285.7232666015625,-0.1259724199771881,0.7529051899909973,0.0007240176200866699,100,2,30,0.05304450914263725,0.5319148936170213,0.3,120,132,wall,1,1,1,1,1,0
84,4.258227825164795,-7.492769718170166,-453.99139404296875,-0.026930321007966995,0.3477100133895874,0.0039334893226623535,89,0,47,0.03512309491634369,0.5244755244755245,0.3,120,136,wall,1,1,1,1,1,0
88,4.583713531494141,-8.681995391845703,-289.079345703125,-0.03518499806523323,0.39483770728111267,0.011515617370605469,89,0,38,0.04740247130393982,0.5415162454873647,0.3,120,127,wall,1,1,1,1,1,0
92,2.482536554336548,-2.546689033508301,-280.6304626464844,-0.020676931366324425,0.28591620922088623,0.02480161190032959,103,1,22,0.03688089922070503,0.5434782608695653,0.3,120,126,wall,1,1,1,1,1,0
96,0.9500834941864014,-0.3729994297027588,-385.79498291015625,-0.02320154756307602,0.30807289481163025,0.022740185260772705,104,0,34,0.03107733093202114,0.5208333333333334,0.3,120,138,wall,1,1,1,1,1,0
100,0.7989395260810852,-0.26376211643218994,-555.3980102539062,-0.006551799830049276,0.009887656196951866,0.03999835252761841,118,0,29,0.01152015570551157,0.5050505050505051,0.3,120,147,wall,1,1,1,1,1,0
104,1.6212430000305176,-1.0861276388168335,-340.1761169433594,-0.05692921578884125,0.5058150887489319,0.004255115985870361,91,0,44,0.03989863395690918,0.5263157894736842,0.3,120,135,wall,1,1,1,1,1,0
108,2.198096990585327,-1.9965412616729736,-313.0501403808594,-0.09651443362236023,0.6553485989570618,0.016221582889556885,89,0,43,0.010465879924595356,0.5319148936170213,0.3,120,132,wall,1,1,1,1,1,0
