frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,0.23620960116386414,-0.023055775091052055,0.0,-0.1823607087135315,0.7347601652145386,0.12363380193710327,0,0,0,0.02173965610563755,0.5434782608695653,0.3,120,126,wall,1,0,1,1,1,1
4,1.098365306854248,-0.4985150098800659,0.0,-2.2361531257629395,3.1337361335754395,0.11487650871276855,0,0,0,0.007148566655814648,0.5454545454545454,0.3,120,125,wall,1,0,1,1,1,1
8,0.16851098835468292,-0.011733864434063435,0.0,-0.009539217688143253,0.17115288972854614,0.027244269847869873,0,0,0,0.007614279631525278,0.5454545454545454,0.3,120,125,wall,1,0,1,1,1,1
12,0.5120192766189575,-0.10833211243152618,0.0,-1.3601313829421997,2.4432456493377686,0.09071284532546997,0,0,0,0.008862124755978584,0.5376344086021506,0.3,120,129,wall,1,0,1,1,1,1
16,0.4585290253162384,-0.08687969297170639,0.0,-0.9123972654342651,1.583207130432129,0.29507607221603394,0,0,0,0.009649494662880898,0.5434782608695653,0.3,120,126,wall,1,0,1,1,1,1
20,2.9246888160705566,-3.5346298217773438,0.0,-1.3575761318206787,2.445493221282959,0.08369332551956177,0,0,0,0.012196029536426067,0.5454545454545454,0.3,120,125,wall,1,0,1,1,1,1
24,0.7125282883644104,-0.20979195833206177,0.0,-0.37063583731651306,0.33763301372528076,0.2908596396446228,0,0,0,0.03041732683777809,0.5474452554744526,0.3,120,124,wall,1,0,1,1,1,1
28,0.9912944436073303,-0.40605974197387695,0.0,-0.19802699983119965,0.9056245684623718,0.06215852499008179,0,0,0,0.0272845346480608,0.5454545454545454,0.3,120,125,wall,1,0,1,1,1,1
32,0.6609909534454346,-0.18054091930389404,0.0,-0.22035834193229675,0.9949697852134705,0.00947117805480957,0,0,0,0.021922282874584198,0.5415162454873647,0.3,120,127,wall,1,0,1,1,1,1
36,2.6470508575439453,-2.895404100418091,0.0,-0.26375043392181396,1.0864711999893188,0.018750011920928955,0,0,0,0.023370521143078804,0.48387096774193555,0.3,120,160,wall,1,0,1,1,1,1
40,1.8019603490829468,-1.3417606353759766,0.0,-0.05367543175816536,0.4892711341381073,0.010827243328094482,0,0,0,0.012204842641949654,0.49019607843137253,0.3,120,156,wall,1,0,1,1,1,1
44,0.6592016816139221,-0.17956480383872986,0.0,-0.04320872202515602,0.3978745937347412,0.04435485601425171,0,0,0,0.011391734704375267,0.5338078291814947,0.3,120,131,wall,1,0,1,1,1,1
48,3.8326733112335205,-6.069993019104004,0.0,-0.12195375561714172,0.7407196760177612,0.0026218295097351074,0,0,0,0.0077323210425674915,0.5357142857142857,0.3,120,130,wall,1,0,1,1,1,1
52,1.4358923435211182,-0.8519780039787292,0.0,-0.022640015929937363,0.3190365135669708,0.002283453941345215,0,0,0,0.009682015515863895,0.5244755244755245,0.3,120,136,wall,1,0,1,1,1,1
56,1.637346625328064,-1.107811450958252,0.0,-0.04420878365635872,0.410457968711853,0.0407257080078125,0,0,0,0.010934443213045597,0.5190311418685121,0.3,120,139,wall,1,0,1,1,1,1
60,3.38783597946167,-4.742740154266357,0.0,-0.19237348437309265,0.9293135404586792,0.010582685470581055,0,0,0,0.008960986509919167,0.5244755244755245,0.3,120,136,wall,1,0,1,1,1,1
64,3.429293632507324,-4.859526634216309,0.0,-0.05400409922003746,0.18277139961719513,0.10682821273803711,0,0,0,0.012812788598239422,0.5190311418685121,0.3,120,139,wall,1,0,1,1,1,1
68,2.614529848098755,-2.8246967792510986,0.0,-0.38677531480789185,1.2923716306686401,0.06185072660446167,0,0,0,0.012840716168284416,0.5263157894736842,0.3,120,135,wall,1,0,1,1,1,1
72,0.7949916124343872,-0.26116183400154114,0.0,-0.011607144959270954,0.1861591339111328,0.03093487024307251,0,0,0,0.013265250250697136,0.5319148936170213,0.3,120,132,wall,1,0,1,1,1,1
76,0.01206106785684824,-6.011130244587548e-05,0.0,-0.01119645033031702,0.07466434687376022,0.0493924617767334,0,0,0,0.015346546657383442,0.5263157894736842,0.3,120,135,wall,1,0,1,1,1,1
