frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,0.5839828252792358,-0.14092393219470978,-11.180511474609375,-0.9509584903717041,1.4095332622528076,0.3532923460006714,19,0,107,0.05637471005320549,0.5434782608695653,0.3,120,126,point,1,1,1,1,1,1
4,0.11128973960876465,-0.00511793652549386,-10.98644733428955,-0.9242681264877319,1.4421275854110718,0.3364756107330322,21,0,104,0.007450915407389402,0.5454545454545454,0.3,120,125,point,1,1,1,1,1,1
8,1.9030754566192627,-1.4965685606002808,-10.301252365112305,-0.15433189272880554,0.8182341456413269,0.03688317537307739,28,0,97,0.018623266369104385,0.5454545454545454,0.3,120,125,point,1,1,1,1,1,1
12,0.37220993638038635,-0.05724802985787392,-10.774089813232422,-0.9325871467590332,1.3614792823791504,0.35716134309768677,24,0,105,0.022256365045905113,0.5376344086021506,0.3,120,129,point,1,1,1,1,1,1
16,1.5626776218414307,-1.0090748071670532,-11.013290405273438,-0.9951701164245605,1.4912025928497314,0.3503560423851013,21,0,105,0.02791745774447918,0.5434782608695653,0.3,120,126,point,1,1,1,1,1,1
20,3.1435790061950684,-4.083507537841797,-11.579824447631836,-1.3856310844421387,0.8504595756530762,0.5478147268295288,15,0,110,0.07552599161863327,0.5454545454545454,0.3,120,125,point,1,1,1,1,1,1
24,3.328171730041504,-4.577159404754639,-11.19917106628418,-0.4738123118877411,1.4601861238479614,0.0008054971694946289,19,0,105,0.03963358327746391,0.5474452554744526,0.3,120,124,point,1,1,1,1,1,1
28,1.6610153913497925,-1.1400710344314575,-11.662779808044434,-1.4396814107894897,0.8614407181739807,0.5588557720184326,14,0,111,0.047562211751937866,0.5454545454545454,0.3,120,125,point,1,1,1,1,1,1
32,4.452015399932861,-8.190263748168945,-11.75436782836914,-2.557224750518799,0.6030422449111938,0.7789228558540344,14,0,113,0.08559908717870712,0.5415162454873647,0.3,120,127,point,1,1,1,1,1,1
36,1.4313178062438965,-0.8465580940246582,-12.616859436035156,-1.850559115409851,1.4523248672485352,0.5818506479263306,36,0,124,0.0688009113073349,0.48387096774193555,0.3,120,160,point,1,1,1,1,1,1
40,0.9067583084106445,-0.33975642919540405,-22.489023208618164,-0.323928564786911,1.2018864154815674,0.026754558086395264,32,23,101,0.026936663314700127,0.49019607843137253,0.3,120,156,point,1,1,1,1,1,1
44,2.6070289611816406,-2.8085122108459473,-8.402090072631836,-0.26239830255508423,1.085760474205017,0.010214924812316895,50,0,81,0.08859827369451523,0.5338078291814947,0.3,120,131,point,1,1,1,1,1,1
48,3.8281309604644775,-6.055613994598389,-10.007452964782715,-0.4835835099220276,0.9836709499359131,0.25650936365127563,33,0,97,0.023332493379712105,0.5357142857142857,0.3,120,130,point,1,1,1,1,1,1
52,2.270627975463867,-2.1304755210876465,-6.715599536895752,-0.15207159519195557,0.8259058594703674,0.010948479175567627,73,0,63,0.021377284079790115,0.5244755244755245,0.3,120,136,point,1,1,1,1,1,1
56,0.6974796056747437,-0.2010238766670227,-9.40175724029541,-0.0474933460354805,0.299870103597641,0.08209818601608276,44,0,95,0.011202714405953884,0.5190311418685121,0.3,120,139,point,1,1,1,1,1,1
60,4.679018020629883,-9.046780586242676,-6.458017826080322,-0.10492921620607376,0.6866839528083801,0.005933403968811035,77,0,59,0.013011190108954906,0.5244755244755245,0.3,120,136,point,1,1,1,1,1,1
64,2.2862069606781006,-2.159810781478882,-7.986100196838379,-0.2629481256008148,1.0877741575241089,0.0008727908134460449,66,0,73,0.012107775546610355,0.5190311418685121,0.3,120,139,point,1,1,1,1,1,1
68,2.412759780883789,-2.405541181564331,-8.601594924926758,-0.2945351302623749,1.1511666774749756,0.0034875869750976562,54,0,81,0.01137629710137844,0.5263157894736842,0.3,120,135,point,1,1,1,1,1,1
72,0.3433218002319336,-0.048706550151109695,-7.41213846206665,-0.16974133253097534,0.8713705539703369,0.015738070011138916,63,0,69,0.02698378823697567,0.5319148936170213,0.3,120,132,point,1,1,1,1,1,1
76,7.713694095611572,-24.58721923828125,-10.764298439025879,-0.214677095413208,0.977466881275177,0.024029314517974854,46,4,85,0.03782178834080696,0.5263157894736842,0.3,120,135,point,1,1,1,1,1,1
80,1.7486116886138916,-1.26348876953125,-9.174869537353516,-0.11437849700450897,0.6864354610443115,0.04867088794708252,49,2,81,0.036697786301374435,0.5319148936170213,0.3,120,132,point,1,1,1,1,1,1
84,5.037511825561523,-10.486166954040527,-11.785022735595703,-0.07068231701850891,0.4962908923625946,0.0625079870223999,65,0,71,0.05037376284599304,0.5244755244755245,0.3,120,136,point,1,1,1,1,1,1
88,4.50004768371582,-8.367945671081543,-7.797770977020264,-0.10082723200321198,0.6705749034881592,0.014852643013000488,53,0,74,0.045370250940322876,0.5415162454873647,0.3,120,127,point,1,1,1,1,1,1
92,1.8425863981246948,-1.4029439687728882,-7.2527313232421875,-0.24115346372127533,1.0416088104248047,0.0036274194717407227,59,0,67,0.02281683310866356,0.5434782608695653,0.3,120,126,point,1,1,1,1,1,1
96,1.1316008567810059,-0.5291407108306885,-8.990880012512207,-0.1541687697172165,0.6742261052131653,0.11411374807357788,62,0,76,0.05937386676669121,0.5208333333333334,0.3,120,138,point,1,1,1,1,1,1
100,0.4125986099243164,-0.07034611701965332,-11.746140480041504,-0.10522063821554184,0.6723312735557556,0.03418433666229248,74,0,73,0.024168670177459717,0.5050505050505051,0.3,120,147,point,1,1,1,1,1,1
104,1.4044272899627686,-0.8150479197502136,-8.696773529052734,-0.4723881185054779,1.3989450931549072,0.09583699703216553,48,0,87,0.0528731495141983,0.5263157894736842,0.3,120,135,point,1,1,1,1,1,1
108,1.3451364040374756,-0.7476825714111328,-8.175809860229492,-0.44978809356689453,1.267392873764038,0.15081381797790527,70,0,62,0.03515704721212387,0.5319148936170213,0.3,120,132,point,1,1,1,1,1,1
112,3.1053409576416016,-3.984769582748413,-8.233059883117676,-0.8559800386428833,1.5222207307815552,0.28906548023223877,46,0,74,0.03578107804059982,0.5555555555555556,0.3,120,120,point,1,1,1,1,1,1
116,2.8146116733551025,-3.2735695838928223,-11.296730995178223,-0.5579568147659302,1.5577093362808228,0.06776607036590576,21,0,100,0.029203949496150017,0.5535055350553506,0.3,120,121,point,1,1,1,1,1,1
120,3.0374741554260254,-3.812499761581421,-7.010112285614014,-0.17030468583106995,0.8740416169166565,0.011484086513519287,58,0,62,0.05174720659852028,0.5555555555555556,0.3,120,120,point,1,1,1,1,1,1
124,3.154906988143921,-4.112990379333496,-8.804850578308105,-0.3958486020565033,1.330714464187622,0.02392977476119995,43,0,82,0.025673458352684975,0.5454545454545454,0.3,120,125,point,1,1,1,1,1,1
128,1.19234299659729,-0.5874718427658081,-11.22856330871582,-0.054207976907491684,0.4934331476688385,0.005002439022064209,67,5,64,0.054628513753414154,0.5244755244755245,0.3,120,136,point,1,1,1,1,1,1
132,0.8694480061531067,-0.3123718202114105,-10.974441528320312,-0.7874424457550049,1.8806816339492798,0.01885169744491577,24,0,101,0.02626417763531208,0.5454545454545454,0.3,120,125,point,1,1,1,1,1,1
136,4.785248756408691,-9.462233543395996,-10.311527252197266,-0.44111764430999756,1.4074698686599731,0.014863669872283936,56,4,87,0.016351142898201942,0.5050505050505051,0.3,120,147,point,1,1,1,1,1,1
140,0.8215447664260864,-0.27889907360076904,-14.299638748168945,-0.6379838585853577,1.6943811178207397,4.9173831939697266e-05,24,9,108,0.012740785256028175,0.5154639175257733,0.3,120,141,point,1,1,1,1,1,1
