frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,3.379239320755005,-4.718701362609863,-236.8583526611328,-0.24815161526203156,0.855201780796051,0.14483821392059326,94,0,32,0.05056828260421753,0.5,0.3,120,126,wall,1,1,1,1,0,1
4,4.157327651977539,-7.1418890953063965,-430.44049072265625,-0.009105674922466278,0.16517551243305206,0.027303576469421387,61,0,64,0.007110652979463339,0.5,0.3,120,125,wall,1,1,1,1,0,1
8,0.6993504166603088,-0.20210370421409607,-355.67889404296875,-0.009131026454269886,0.2024911791086197,0.002175629138946533,95,0,30,0.010349312797188759,0.5,0.3,120,125,wall,1,1,1,1,0,1
12,2.896317720413208,-3.4663867950439453,-393.9250793457031,-0.009855648502707481,0.1902146190404892,0.021089017391204834,66,0,63,0.01825503073632717,0.5,0.3,120,129,wall,1,1,1,1,0,1
16,2.0022854804992676,-1.6566722393035889,-389.5816650390625,-0.010557536035776138,0.18638479709625244,0.02636730670928955,64,0,62,0.03904583305120468,0.5,0.3,120,126,wall,1,1,1,1,0,1
20,5.34084939956665,-11.787054061889648,-388.34869384765625,-0.01335893664509058,0.20672763884067535,0.030760109424591064,64,0,61,0.04117194563150406,0.5,0.3,120,125,wall,1,1,1,1,0,1
24,1.3266410827636719,-0.7272629737854004,-205.8230438232422,-0.33672255277633667,1.2307565212249756,0.00516432523727417,108,0,16,0.09713166952133179,0.5,0.3,120,124,wall,1,1,1,1,0,1
28,1.3643646240234375,-0.7692110538482666,-379.610595703125,-0.0036233169957995415,0.1146436259150505,0.01312023401260376,82,0,43,0.05270734429359436,0.5,0.3,120,125,wall,1,1,1,1,0,1
32,1.1980355978012085,-0.5930947065353394,-524.8452758789062,-0.05000403895974159,0.458475261926651,0.028404057025909424,57,0,70,0.02868669293820858,0.5,0.3,120,127,wall,1,1,1,1,0,1
36,3.570833921432495,-5.268948078155518,-714.5060424804688,-0.009354371577501297,0.20512159168720245,0.0010384321212768555,53,6,101,0.05730088800191879,0.5,0.3,120,160,wall,1,1,1,1,0,1
40,2.0136916637420654,-1.6756007671356201,-493.107177734375,-0.002562850248068571,0.10654383897781372,0.0031412243843078613,117,4,35,0.027625983580946922,0.5,0.3,120,156,wall,1,1,1,1,0,1
44,1.2675528526306152,-0.663921594619751,-361.1681823730469,-0.004854378290474415,0.07553692907094955,0.02964240312576294,111,2,18,0.029558587819337845,0.5,0.3,120,131,wall,1,1,1,1,0,1
48,3.8692164421081543,-6.186295509338379,-192.263916015625,-0.05425502359867096,0.4936460554599762,0.0050109028816223145,107,0,23,0.04918142780661583,0.5,0.3,120,130,wall,1,1,1,1,0,1
52,2.4276034832000732,-2.4352307319641113,-604.791259765625,-0.00016738972044549882,0.025284910574555397,0.002490520477294922,97,10,29,0.0462326854467392,0.5,0.3,120,136,wall,1,1,1,1,0,1
56,2.654107093811035,-2.9108612537384033,-341.44476318359375,-0.023707158863544464,0.2973678410053253,0.03152555227279663,102,0,37,0.04365764185786247,0.5,0.3,120,139,wall,1,1,1,1,0,1
60,3.5416221618652344,-5.183094024658203,-222.18968200683594,-0.13753452897071838,0.7856799364089966,0.00936955213546753,106,2,28,0.12366125732660294,0.5,0.3,120,136,wall,1,1,1,1,0,1
64,4.057020664215088,-6.8014116287231445,-419.54058837890625,-0.06084638461470604,0.5055056810379028,0.03154122829437256,103,3,33,0.07453601062297821,0.5,0.3,120,139,wall,1,1,1,1,0,1
68,3.2901246547698975,-4.47310733795166,-441.1968688964844,-0.10400641709566116,0.6552980542182922,0.04585063457489014,101,0,34,0.0681847557425499,0.5,0.3,120,135,wall,1,1,1,1,0,1
72,0.6491257548332214,-0.17411744594573975,-412.26324462890625,-0.03702928125858307,0.32454410195350647,0.05777198076248169,102,7,23,0.03780028223991394,0.5,0.3,120,132,wall,1,1,1,1,0,1
76,1.279266357421875,-0.6762489080429077,-306.1990966796875,-0.11052873730659485,0.688343346118927,0.03581702709197998,103,3,29,0.028872812166810036,0.5,0.3,120,135,wall,1,1,1,1,0,1
80,2.5645949840545654,-2.717829465866089,-555.0203247070312,-0.007964378222823143,0.10792973637580872,0.036291301250457764,95,11,26,0.030580172315239906,0.5,0.3,120,132,wall,1,1,1,1,0,1
84,2.7045021057128906,-3.0224509239196777,-400.0199890136719,-0.18242526054382324,0.8711719512939453,0.058086931705474854,105,3,28,0.02735820785164833,0.5,0.3,120,136,wall,1,1,1,1,0,1
88,2.3433215618133545,-2.2690725326538086,-241.88377380371094,-0.28453102707862854,1.131440281867981,0.0035578012466430664,89,0,38,0.0733700841665268,0.5,0.3,120,127,wall,1,1,1,1,0,1
92,2.326672077178955,-2.236943244934082,-285.81475830078125,-0.08437532186508179,0.6129181385040283,0.014794707298278809,86,0,40,0.021852673962712288,0.5,0.3,120,126,wall,1,1,1,1,0,1
96,1.3068028688430786,-0.7056750655174255,-489.55401611328125,-0.00031567446421831846,0.03023569844663143,0.005250453948974609,89,0,49,0.03966524451971054,0.5,0.3,120,138,wall,1,1,1,1,0,1
100,3.9695887565612793,-6.511419296264648,-566.942626953125,-0.4450739622116089,1.11744225025177,0.2026316523551941,107,4,36,0.021394051611423492,0.5,0.3,120,147,wall,1,1,1,1,0,1
104,0.48869651556015015,-0.09868771582841873,-326.9103088378906,-0.060825955122709274,0.20603491365909576,0.11221039295196533,113,1,21,0.05288601666688919,0.5,0.3,120,135,wall,1,1,1,1,0,1
108,3.4074604511260986,-4.797845363616943,-320.9764709472656,-0.15640570223331451,0.25126296281814575,0.18676763772964478,124,1,7,0.013676750473678112,0.5,0.3,120,132,wall,1,1,1,1,0,1
112,3.6295297145843506,-5.443588733673096,-269.66436767578125,-0.7086530923843384,1.6867561340332031,0.1368122696876526,76,0,44,0.007095377426594496,0.5,0.3,120,120,wall,1,1,1,1,0,1
116,0.9902946949005127,-0.40524113178253174,-165.37982177734375,-0.5659942626953125,0.12944559752941132,0.37115538120269775,120,1,0,0.02794593572616577,0.5,0.3,120,121,wall,1,1,1,1,0,1
