profile,method,n_traversals,ape_align_rmse_across_traversals_mean,row_correct_fraction_across_traversals_mean,failure_rate_across_traversals_mean
drift_bias,AMCL+NoisyGNSS,2,1.8191390196830488,0.5757754775032237,0.42422452249677634
drift_bias,NoisyGNSS,2,4.096276186587486,0.41392284783204836,0.5860771521679518
drift_bias,RTAB RGB+NoisyGNSS,2,7.235367752747356,0.3866150247758645,0.6133849752241355
drift_bias,RTAB RGBD+NoisyGNSS,2,7.677213812461405,0.3965238364361171,0.6034761635638828
drift_bias,SLPF,2,3.244330061070032,0.3895042950888672,0.6104957049111328
gaussian_high,AMCL+NoisyGNSS,2,1.819122604918322,0.5757754775032237,0.42422452249677634
gaussian_high,NoisyGNSS,2,3.15752728546034,0.5088197593219691,0.49118024067803095
gaussian_high,RTAB RGB+NoisyGNSS,2,7.235355714635239,0.3866150247758645,0.6133849752241355
gaussian_high,RTAB RGBD+NoisyGNSS,2,7.6772952500814,0.3965238364361171,0.6034761635638828
gaussian_high,SLPF,2,1.4543291831711507,0.644910622612511,0.3550893773874891
headland_only_degradation,AMCL+NoisyGNSS,2,1.8191243827736865,0.5757754775032237,0.42422452249677634
headland_only_degradation,NoisyGNSS,2,2.455775340250069,0.7507413572098185,0.24925864279018156
headland_only_degradation,RTAB RGB+NoisyGNSS,2,7.235356711049948,0.3866150247758645,0.6133849752241355
headland_only_degradation,RTAB RGBD+NoisyGNSS,2,7.677261343691832,0.3965238364361171,0.6034761635638828
headland_only_degradation,SLPF,2,1.2364665063026001,0.705064187185521,0.29493581281447895
multipath_bursts,AMCL+NoisyGNSS,2,1.8191307654241218,0.5757754775032237,0.42422452249677634
multipath_bursts,NoisyGNSS,2,3.6417162115964947,0.6337982360481356,0.3662017639518643
multipath_bursts,RTAB RGB+NoisyGNSS,2,7.235362401088796,0.3866150247758645,0.6133849752241355
multipath_bursts,RTAB RGBD+NoisyGNSS,2,7.6772877482038115,0.3965238364361171,0.6034761635638828
multipath_bursts,SLPF,2,1.2872586222109719,0.6743098203524078,0.3256901796475922
nominal,AMCL+NoisyGNSS,2,1.8191325446617705,0.5757754775032237,0.42422452249677634
nominal,NoisyGNSS,2,1.2844806580691694,0.705395805034214,0.29460419496578594
nominal,RTAB RGB+NoisyGNSS,2,7.235363988668845,0.3866150247758645,0.6133849752241355
nominal,RTAB RGBD+NoisyGNSS,2,7.67729411492423,0.3965238364361171,0.6034761635638828
nominal,SLPF,2,0.8864510601550593,0.717381877084569,0.2826181229154311
outage_10s,AMCL+NoisyGNSS,2,1.8191325446617705,0.5757754775032237,0.42422452249677634
outage_10s,NoisyGNSS,2,1.4437229494902026,0.7061059311059311,0.2938940688940689
outage_10s,RTAB RGB+NoisyGNSS,2,7.235363988668845,0.3866150247758645,0.6133849752241355
outage_10s,RTAB RGBD+NoisyGNSS,2,7.67729411492423,0.3965238364361171,0.6034761635638828
outage_10s,SLPF,2,0.9082283258420181,0.716932279808937,0.2830677201910629
outage_20s,AMCL+NoisyGNSS,2,1.8191325446617705,0.5757754775032237,0.42422452249677634
outage_20s,NoisyGNSS,2,1.4436991371436236,0.7050190137282607,0.2949809862717393
outage_20s,RTAB RGB+NoisyGNSS,2,7.235363988668845,0.3866150247758645,0.6133849752241355
outage_20s,RTAB RGBD+NoisyGNSS,2,7.67729411492423,0.3965238364361171,0.6034761635638828
outage_20s,SLPF,2,0.9196533915728119,0.7073887007595324,0.2926112992404676
outage_5s,AMCL+NoisyGNSS,2,1.8191325446617705,0.5757754775032237,0.42422452249677634
outage_5s,NoisyGNSS,2,1.4418552146172081,0.7067565719755239,0.2932434280244761
outage_5s,RTAB RGB+NoisyGNSS,2,7.235363988668845,0.3866150247758645,0.6133849752241355
outage_5s,RTAB RGBD+NoisyGNSS,2,7.67729411492423,0.3965238364361171,0.6034761635638828
outage_5s,SLPF,2,0.8797157144116854,0.7123565912236061,0.28764340877639394
