frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,1.7406724691390991,-1.2520414590835571,-392.7358093261719,-0.17359717190265656,0.8837993144989014,0.0021643638610839844,52,0,74,0.03767218068242073,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1
4,1.7561522722244263,-1.2744094133377075,-362.2280578613281,-0.17287009954452515,0.8819389939308167,0.0023221969604492188,58,0,67,0.011796727776527405,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
8,1.257631778717041,-0.6535692811012268,-518.4588623046875,-0.6927937269210815,1.7092972993850708,0.10326802730560303,25,0,100,0.011266234330832958,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
12,1.4510583877563477,-0.8700704574584961,-512.4326171875,-0.7251526117324829,1.7529469728469849,0.10180491209030151,28,0,101,0.012875808402895927,0.5376344086021506,0.3,120,129,wall,both,1,1,1,1,1,1
16,1.312248706817627,-0.7115688323974609,-408.65228271484375,-0.6188722848892212,1.2135214805603027,0.26729559898376465,65,0,61,0.02049298956990242,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1
20,2.051880359649658,-1.7397574186325073,-334.0711975097656,-1.1039563417434692,0.6480177044868469,0.49760085344314575,90,0,35,0.08555001765489578,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
24,0.6350868940353394,-0.16666749119758606,-302.6514587402344,-1.016305685043335,0.6757018566131592,0.4734311103820801,88,0,36,0.033357422798871994,0.5474452554744526,0.3,120,124,wall,both,1,1,1,1,1,1
28,6.750930309295654,-18.83266830444336,-368.0397033691406,-0.19611681997776031,0.9392472505569458,0.004304289817810059,57,0,68,0.043435510247945786,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
32,3.156099319458008,-4.116100311279297,-515.4989013671875,-0.14555025100708008,0.8090957999229431,0.004303276538848877,53,4,70,0.024940786883234978,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1
36,0.17573250830173492,-0.012761121615767479,-891.7550048828125,-0.10614013671875,0.6521193385124207,0.05339765548706055,60,23,77,0.02941976673901081,0.48387096774193555,0.3,120,160,wall,both,1,1,1,1,1,1
40,0.45384326577186584,-0.08511310070753098,-807.48291015625,-0.026107225567102432,0.3413384258747101,0.007269382476806641,74,25,57,0.2096266746520996,0.49019607843137253,0.3,120,156,wall,both,1,1,1,1,1,1
44,1.6398504972457886,-1.1112022399902344,-336.1328430175781,-0.17152053117752075,0.8785455822944641,8.404254913330078e-06,77,2,52,0.02692616544663906,0.5338078291814947,0.3,120,131,wall,both,1,1,1,1,1,1
48,2.9997246265411377,-3.718325614929199,-301.9938659667969,-0.20698340237140656,0.9650996923446655,0.0006567835807800293,75,0,55,0.026533067226409912,0.5357142857142857,0.3,120,130,wall,both,1,1,1,1,1,1
52,3.4860482215881348,-5.021707534790039,-494.5572814941406,-0.3140815198421478,1.1888494491577148,0.0004602670669555664,69,5,62,0.03479946777224541,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
56,5.132423400878906,-10.885028839111328,-359.8299255371094,-0.4512915313243866,1.4235631227493286,0.015265047550201416,64,0,75,0.030830789357423782,0.5190311418685121,0.3,120,139,wall,both,1,1,1,1,1,1
60,2.133066177368164,-1.8801532983779907,-457.84783935546875,-0.12834428250789642,0.7576577067375183,0.013812243938446045,88,8,40,0.054799675941467285,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
64,5.137288570404053,-10.90567398071289,-404.6583251953125,-0.3831844627857208,1.3131327629089355,0.0008211731910705566,83,3,53,0.0384160652756691,0.5190311418685121,0.3,120,139,wall,both,1,1,1,1,1,1
68,3.119685649871826,-4.021668434143066,-388.1811218261719,-0.08947893232107162,0.6230095624923706,0.028110861778259277,103,6,26,0.07923868298530579,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
72,2.6078078746795654,-2.8101906776428223,-251.27317810058594,-0.2441072016954422,1.0473192930221558,0.009346961975097656,99,2,31,0.04707908630371094,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1
76,2.2197530269622803,-2.0360755920410156,-294.8668518066406,-0.17939120531082153,0.8948283195495605,0.018873631954193115,101,3,31,0.04076676070690155,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
80,3.1449904441833496,-4.087175369262695,-285.1895751953125,-0.16512516140937805,0.8610381484031677,0.009553909301757812,95,2,35,0.081548772752285,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1
84,2.2951271533966064,-2.1766977310180664,-324.9639892578125,-0.35120347142219543,1.2563560009002686,0.010396361351013184,97,0,39,0.04934341460466385,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
88,2.2493929862976074,-2.090813398361206,-256.760009765625,-0.19581244885921478,0.9386987090110779,0.0001995563507080078,89,0,38,0.048290595412254333,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1
92,2.3880069255828857,-2.3564367294311523,-242.33883666992188,-0.2661517262458801,1.0943869352340698,1.1146068572998047e-05,86,0,40,0.045466795563697815,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1
96,1.6490445137023926,-1.1236974000930786,-324.7392578125,-0.45057886838912964,1.3819788694381714,0.08006405830383301,96,0,42,0.0261894091963768,0.5208333333333334,0.3,120,138,wall,both,1,1,1,1,1,1
100,4.988251686096191,-10.282088279724121,-531.1702880859375,-0.24494488537311554,1.0496644973754883,0.0049849748611450195,96,14,37,0.021318279206752777,0.5050505050505051,0.3,120,147,wall,both,1,1,1,1,1,1
104,1.8528002500534058,-1.4185407161712646,-231.86058044433594,-0.5912641882896423,1.4676527976989746,0.166090726852417,101,0,34,0.01341583114117384,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
108,3.972560405731201,-6.521171569824219,-511.5159912109375,-0.034942541271448135,0.387651652097702,0.019476890563964844,87,8,37,0.03248445317149162,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1
