frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,0.1400795876979828,-0.008108383975923061,-91.002685546875,0.0,0.0,0.0,4,0,2,0.03690970316529274,0.5,0.0,0,6,wall,both,1,1,0,0,0,0
5,0.6342674493789673,-0.16623768210411072,-8.849435806274414,0.0,0.0,0.0,5,0,0,0.01089656725525856,0.5,0.0,0,5,wall,both,1,1,0,0,0,0
10,1.0629900693893433,-0.4669205844402313,-8.778579711914062,0.0,0.0,0.0,4,0,0,0.011865516193211079,0.5,0.0,0,4,wall,both,1,1,0,0,0,0
15,0.7718561887741089,-0.2461826056241989,-10.501531600952148,0.0,0.0,0.0,5,0,0,0.019819550216197968,0.5,0.0,0,5,wall,both,1,1,0,0,0,0
20,3.8721940517425537,-6.1958208084106445,-0.21222157776355743,0.0,0.0,0.0,5,0,0,0.03147152066230774,0.5,0.0,0,5,wall,both,1,1,0,0,0,0
25,1.1357628107070923,-0.5330401062965393,-0.5717495083808899,0.0,0.0,0.0,3,0,0,0.03426132723689079,0.5,0.0,0,3,wall,both,1,1,0,0,0,0
30,0.4980194866657257,-0.10248900204896927,-2.693267345428467,0.0,0.0,0.0,3,0,0,0.026611806824803352,0.5,0.0,0,3,wall,both,1,1,0,0,0,0
35,0.12378141283988953,-0.006331337615847588,-0.7853728532791138,0.0,0.0,0.0,9,0,0,0.04559098184108734,0.5,0.0,0,9,wall,both,1,1,0,0,0,0
40,2.75667405128479,-3.1401865482330322,-109.04414367675781,0.0,0.0,0.0,17,19,0,0.028736429288983345,0.5,0.0,0,36,wall,both,1,1,0,0,0,0
45,1.895999789237976,-1.4854607582092285,-1.010554313659668,0.0,0.0,0.0,12,0,0,0.06003401055932045,0.5,0.0,0,12,wall,both,1,1,0,0,0,0
50,0.4905541241168976,-0.09943939745426178,-14.591950416564941,0.0,0.0,0.0,13,1,0,0.039614591747522354,0.5,0.0,0,14,wall,both,1,1,0,0,0,0
55,2.339125156402588,-2.260952949523926,-101.38970184326172,0.0,0.0,0.0,12,7,0,0.06548760831356049,0.5,0.0,0,19,wall,both,1,1,0,0,0,0
60,3.613415241241455,-5.395359039306641,-66.21855926513672,0.0,0.0,0.0,15,1,0,0.04865490272641182,0.5,0.0,0,16,wall,both,1,1,0,0,0,0
65,2.3955042362213135,-2.3712563514709473,-61.539222717285156,0.0,0.0,0.0,16,0,0,0.03377479687333107,0.5,0.0,0,16,wall,both,1,1,0,0,0,0
70,0.014265650883316994,-8.409453585045412e-05,-61.5264778137207,0.0,0.0,0.0,15,0,0,0.027890905737876892,0.5,0.0,0,15,wall,both,1,1,0,0,0,0
75,3.0266215801239014,-3.7853050231933594,-0.34080296754837036,0.0,0.0,0.0,14,0,0,0.06842508912086487,0.5,0.0,0,14,wall,both,1,1,0,0,0,0
80,1.6291998624801636,-1.0968148708343506,-19.507354736328125,0.0,0.0,0.0,11,1,0,0.056919559836387634,0.5,0.0,0,12,wall,both,1,1,0,0,0,0
85,3.1354050636291504,-4.0622992515563965,-38.55699157714844,0.0,0.0,0.0,13,3,0,0.032694391906261444,0.5,0.0,0,16,wall,both,1,1,0,0,0,0
90,3.509399175643921,-5.089207649230957,-34.722564697265625,0.0,0.0,0.0,8,0,0,0.14853699505329132,0.5,0.0,0,8,wall,both,1,1,0,0,0,0
95,1.8040544986724854,-1.3448811769485474,-38.03834915161133,0.0,0.0,0.0,13,3,0,0.04655039310455322,0.5,0.0,0,16,wall,both,1,1,0,0,0,0
100,2.8575172424316406,-3.374133825302124,-55.65971755981445,0.0,0.0,0.0,24,3,0,0.03580256178975105,0.5,0.0,0,27,wall,both,1,1,0,0,0,0
105,2.3198437690734863,-2.223832607269287,-67.5368423461914,0.0,0.0,0.0,20,2,5,0.05193142220377922,0.5,0.0,0,27,wall,both,1,1,0,0,0,0
110,3.904805898666382,-6.300623416900635,0.0,0.0,0.0,0.0,0,0,0,0.04029173403978348,0.5,0.0,0,0,wall,both,1,1,0,0,0,0
115,2.433260917663574,-2.446594476699829,0.0,0.0,0.0,0.0,0,0,0,0.034132301807403564,0.5,0.0,0,0,wall,both,1,1,0,0,0,0
120,5.9056549072265625,-14.411883354187012,0.0,0.0,0.0,0.0,0,0,0,0.014555459842085838,0.5,0.0,0,0,wall,both,1,1,0,0,0,0
125,3.6963114738464355,-5.645751476287842,-61.55707931518555,0.0,0.0,0.0,5,0,0,0.01801988296210766,0.5,0.0,0,5,wall,both,1,1,0,0,0,0
130,4.062078475952148,-6.818379878997803,-139.71446228027344,0.0,0.0,0.0,6,12,0,0.058196548372507095,0.5,0.0,0,18,wall,both,1,1,0,0,0,0
135,4.115053176879883,-6.99738073348999,-26.85316276550293,0.0,0.0,0.0,16,0,0,0.03382464125752449,0.5,0.0,0,16,wall,both,1,1,0,0,0,0
140,6.622226238250732,-18.121437072753906,-87.93849182128906,0.0,0.0,0.0,12,4,5,0.08428293466567993,0.5,0.0,0,21,wall,both,1,1,0,0,0,0
145,4.2027788162231445,-7.2989044189453125,-200.0,0.0,0.0,0.0,0,12,12,0.026364991441369057,0.5,0.0,0,24,wall,both,1,1,0,0,0,0
150,2.3746957778930664,-2.3302395343780518,-54.79219436645508,0.0,0.0,0.0,16,0,0,0.032242268323898315,0.5,0.0,0,16,wall,both,1,1,0,0,0,0
155,0.717046320438385,-0.21246092021465302,0.0,0.0,0.0,0.0,0,0,0,0.013077845796942711,0.5,0.0,0,0,wall,both,1,1,0,0,0,0
160,4.721530437469482,-9.211920738220215,-36.78223419189453,0.0,0.0,0.0,6,0,0,0.019465509802103043,0.5,0.0,0,6,wall,both,1,1,0,0,0,0
165,0.27636420726776123,-0.03156081587076187,-59.60453414916992,0.0,0.0,0.0,10,0,0,0.011486484669148922,0.5,0.0,0,10,wall,both,1,1,0,0,0,0
170,3.643267869949341,-5.484875679016113,-64.80976867675781,0.0,0.0,0.0,9,0,4,0.017784979194402695,0.5,0.0,0,13,wall,both,1,1,0,0,0,0
175,2.333015203475952,-2.2491567134857178,-34.921775817871094,0.0,0.0,0.0,27,0,0,0.01702016405761242,0.5,0.0,0,27,wall,both,1,1,0,0,0,0
180,5.4710588455200195,-12.368795394897461,-102.91146087646484,0.0,0.0,0.0,17,3,0,0.04985622689127922,0.5,0.0,0,20,wall,both,1,1,0,0,0,0
185,4.844729900360107,-9.698927879333496,-180.84451293945312,0.0,0.0,0.0,3,20,1,0.031727034598588943,0.5,0.0,0,24,wall,both,1,1,0,0,0,0
190,4.031105041503906,-6.71479606628418,-93.42350006103516,0.0,0.0,0.0,21,8,7,0.020496590062975883,0.5,0.0,0,36,wall,both,1,1,0,0,0,0
195,2.3559627532958984,-2.2936198711395264,-159.24171447753906,0.0,0.0,0.0,15,0,0,0.020259089767932892,0.5,0.0,0,15,wall,both,1,1,0,0,0,0
200,0.7463269233703613,-0.23016686737537384,-29.516986846923828,0.0,0.0,0.0,13,0,0,0.04551063850522041,0.5,0.0,0,13,wall,both,1,1,0,0,0,0
205,5.584781646728516,-12.888340950012207,-60.59904098510742,0.0,0.0,0.0,15,3,0,0.031647928059101105,0.5,0.0,0,18,wall,both,1,1,0,0,0,0
210,0.8304834365844727,-0.28500112891197205,-30.857666015625,0.0,0.0,0.0,16,0,0,0.025916336104273796,0.5,0.0,0,16,wall,both,1,1,0,0,0,0
215,3.3251073360443115,-4.568735122680664,0.0,0.0,0.0,0.0,0,0,0,0.015530159696936607,0.5,0.0,0,0,wall,both,1,1,0,0,0,0
220,0.6071933507919312,-0.15234865248203278,0.0,0.0,0.0,0.0,0,0,0,0.009936708956956863,0.5,0.0,0,0,wall,both,1,1,0,0,0,0
225,0.687658965587616,-0.1954028159379959,-90.7052993774414,0.0,0.0,0.0,11,0,0,0.027243373915553093,0.5,0.0,0,11,wall,both,1,1,0,0,0,0
230,1.0590505599975586,-0.4634661376476288,-194.77444458007812,0.0,0.0,0.0,1,5,21,0.0296346303075552,0.5,0.0,0,27,wall,both,1,1,0,0,0,0
235,2.5999789237976074,-2.7933430671691895,-181.4922332763672,0.0,0.0,0.0,3,7,14,0.0288962721824646,0.5,0.0,0,24,wall,both,1,1,0,0,0,0
240,0.4156094491481781,-0.07137653231620789,0.0,0.0,0.0,0.0,0,0,0,0.012083400040864944,0.5,0.0,0,0,wall,both,1,1,0,0,0,0
