frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,2.41797137260437,-2.4159443378448486,-333.08172607421875,-0.07541809976100922,0.569431483745575,0.02870023250579834,70,0,56,0.048443786799907684,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1
4,0.31460848450660706,-0.040900204330682755,-476.8179931640625,-0.6613649129867554,1.3373335599899292,0.2542884945869446,44,0,81,0.008550534024834633,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
8,3.116405963897705,-4.013217449188232,-330.9380187988281,-0.08008985221385956,0.59026700258255,0.025548875331878662,70,0,55,0.008340307511389256,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
12,0.5918165445327759,-0.1447300761938095,-490.7113037109375,-0.5993573665618896,1.2922043800354004,0.23649871349334717,47,0,82,0.012020767666399479,0.5376344086021506,0.3,120,129,wall,both,1,1,1,1,1,1
16,1.5499911308288574,-0.9927572011947632,-510.5382385253906,-0.4957265257835388,1.4935283660888672,0.0027837157249450684,53,0,73,0.015230929479002953,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1
20,2.1952528953552246,-1.9913780689239502,-397.3238525390625,-0.07343894243240356,0.5457764863967896,0.04213154315948486,56,0,69,0.17140336334705353,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
24,2.1897475719451904,-1.9814025163650513,-570.8096923828125,-1.0963481664657593,2.1171741485595703,0.15672296285629272,33,0,91,0.048749446868896484,0.5474452554744526,0.3,120,124,wall,both,1,1,1,1,1,1
28,1.0662661790847778,-0.4698030948638916,-348.772216796875,-0.0771726667881012,0.5657539367675781,0.038481950759887695,66,0,59,0.022429587319493294,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
32,3.6176950931549072,-5.408147811889648,-598.6641235351562,-0.10713386535644531,0.624087929725647,0.0710102915763855,41,0,86,0.0346471406519413,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1
36,2.9761929512023926,-3.6602163314819336,-481.2745666503906,-0.0361570306122303,0.1797754019498825,0.08425480127334595,133,10,17,0.05416780337691307,0.48387096774193555,0.3,120,160,wall,both,1,1,1,1,1,1
40,1.4883670806884766,-0.915386974811554,-443.0913391113281,-0.08437424898147583,0.09214711934328079,0.14215975999832153,120,3,33,0.0574566088616848,0.49019607843137253,0.3,120,156,wall,both,1,1,1,1,1,1
44,3.26911997795105,-4.416175365447998,-445.3125,-0.04796389490365982,0.4517258405685425,0.02532637119293213,97,3,31,0.022269727662205696,0.5338078291814947,0.3,120,131,wall,both,1,1,1,1,1,1
48,3.217101812362671,-4.2767534255981445,-463.4967041015625,-0.17455406486988068,0.8861085176467896,0.0040746331214904785,44,0,86,0.01487799547612667,0.5357142857142857,0.3,120,130,wall,both,1,1,1,1,1,1
52,1.5541619062423706,-0.9981071352958679,-608.7437133789062,-0.09379160404205322,0.6416223049163818,0.023775994777679443,71,6,59,0.008814793080091476,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
56,0.37473124265670776,-0.05802623927593231,-378.3207092285156,-0.02672780305147171,0.3308095932006836,0.024293720722198486,85,0,54,0.019197240471839905,0.5190311418685121,0.3,120,139,wall,both,1,1,1,1,1,1
60,3.235905885696411,-4.326895236968994,-510.548828125,-0.16592247784137726,0.6555977463722229,0.13134050369262695,52,0,84,0.014899218454957008,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
64,2.043314218521118,-1.7252615690231323,-418.4830017089844,-0.22919520735740662,1.0147660970687866,0.009415090084075928,92,3,44,0.018187200650572777,0.5190311418685121,0.3,120,139,wall,both,1,1,1,1,1,1
68,2.6699206829071045,-2.9456512928009033,-338.9443664550781,-0.143761545419693,0.8025469183921814,0.012446582317352295,101,6,28,0.03354448452591896,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
72,0.1383611261844635,-0.007910661399364471,-350.09857177734375,-0.24180783331394196,1.041698932647705,0.012777090072631836,90,4,38,0.03908205404877663,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1
76,7.276187896728516,-21.877233505249023,-388.3056945800781,-0.32400020956993103,1.2069169282913208,0.008580982685089111,82,3,50,0.08636779338121414,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
80,1.5486005544662476,-0.9909766912460327,-521.7200317382812,-0.0220881849527359,0.29821568727493286,0.023868799209594727,91,10,31,0.07391750812530518,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1
