frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled,detection_drop_rate,detections_raw,detections_kept,detections_dropped
0,3.2466776371002197,-4.35575008392334,-159.3584747314453,-0.3095352053642273,1.1800280809402466,0.0049065351486206055,98,0,22,0.04045161232352257,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,4,2,2
4,4.15971565246582,-7.150096416473389,-396.2559509277344,-0.0060198260471224785,0.14022871851921082,0.020106136798858643,59,0,61,0.006246758624911308,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,3,2,1
8,0.6676889061927795,-0.1842183619737625,-362.3452453613281,-0.013786169700324535,0.24732407927513123,0.006876647472381592,90,0,35,0.010689853690564632,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.4,3,2,1
12,2.4574015140533447,-2.4953808784484863,-588.7976684570312,-0.17030911147594452,0.8142520189285278,0.07502478361129761,32,0,93,0.012415600009262562,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.4,4,2,2
16,1.0168228149414062,-0.4272432029247284,-719.07861328125,-0.2755168378353119,1.112725853919983,0.009526610374450684,11,0,115,0.027258725836873055,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1,0.4,4,1,3
20,3.306732416152954,-4.5183796882629395,-680.0991821289062,-1.5908253192901611,2.200958013534546,0.35498106479644775,15,0,110,0.024175383150577545,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.4,2,2,0
24,1.2558825016021729,-0.6517523527145386,-399.0214538574219,-0.007807379588484764,0.15307003259658813,0.025241851806640625,62,0,61,0.024622242897748947,0.5494505494505495,0.3,120,123,wall,both,1,1,1,1,1,1,0.4,6,5,1
28,1.2324786186218262,-0.627687394618988,-414.426513671875,-0.01669391058385372,0.26443716883659363,0.016818761825561523,59,0,66,0.034353192895650864,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.4,4,3,1
32,1.25556480884552,-0.6514226794242859,-373.2382507324219,-0.03877633064985275,0.40624773502349854,0.022690117359161377,57,0,63,0.04342944920063019,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,4,2,2
36,3.745762586593628,-5.797824859619141,-531.7105712890625,-0.006388955749571323,0.16376993060112,0.010249972343444824,86,0,74,0.0418810211122036,0.48387096774193555,0.3,120,160,wall,both,1,1,1,1,1,1,0.4,4,3,1
40,1.910748839378357,-1.5086615085601807,-473.2332763671875,-0.003662393894046545,0.08999917656183243,0.021361052989959717,117,0,39,0.03786345571279526,0.49019607843137253,0.3,120,156,wall,both,1,1,1,1,1,1,0.4,5,5,0
44,1.132885217666626,-0.5303425192832947,-366.6362609863281,-0.008562276139855385,0.005308401305228472,0.04578453302383423,72,0,59,0.03705697879195213,0.5338078291814947,0.3,120,131,wall,both,1,1,1,1,1,1,0.4,4,3,1
48,4.057638645172119,-6.803483963012695,-210.97845458984375,-0.03626030310988426,0.4035831391811371,0.003987312316894531,98,0,22,0.039069026708602905,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,3,1,2
52,2.7599754333496094,-3.147712469100952,-521.63427734375,-0.05418506637215614,0.48873135447502136,0.016456961631774902,90,9,37,0.05177774280309677,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1,0.4,4,3,1
56,2.981511116027832,-3.673308849334717,-290.02545166015625,-0.02466973103582859,0.3314291834831238,0.007976055145263672,106,0,33,0.03679169341921806,0.5190311418685121,0.3,120,139,wall,both,1,1,1,1,1,1,0.4,3,2,1
60,3.696600914001465,-5.646635055541992,-361.86468505859375,-0.07989495992660522,0.5898844599723816,0.025091350078582764,101,1,34,0.0947628766298294,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1,0.4,5,2,3
64,3.1840269565582275,-4.189267158508301,-276.2218933105469,-0.041757334023714066,0.41407185792922974,0.029929041862487793,81,0,39,0.034608375281095505,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,4,1,3
68,3.647585868835449,-5.497885227203369,-411.37042236328125,-0.07393698394298553,0.5706971287727356,0.019551634788513184,101,9,25,0.04002971202135086,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1,0.4,7,6,1
72,0.2756947875022888,-0.03140810504555702,-329.7873229980469,-0.06052444130182266,0.5202304720878601,0.009677648544311523,81,0,51,0.0671342983841896,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1,0.4,4,1,3
76,0.8105834126472473,-0.2715063691139221,-270.3995056152344,-0.0832802802324295,0.33693698048591614,0.1192592978477478,91,0,29,0.03758254647254944,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,5,2,3
80,2.714160680770874,-3.0440776348114014,-271.8970642089844,-0.04094213247299194,0.28915268182754517,0.07401865720748901,94,0,26,0.05233413353562355,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,5,3,2
84,2.9063408374786377,-3.49042010307312,-212.12576293945312,-0.16226866841316223,0.8285437226295471,0.048790812492370605,99,0,21,0.026325402781367302,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,5,2,3
88,2.7002925872802734,-3.013049602508545,-211.7760467529297,-0.15129902958869934,0.6845127940177917,0.10750764608383179,99,0,21,0.02827797457575798,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,6,4,2
