frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled,detection_drop_rate,detections_raw,detections_kept,detections_dropped
0,1.7406727075576782,-1.2520419359207153,-392.7358093261719,-0.17359717190265656,0.8837993144989014,0.0021643638610839844,52,0,74,0.03767218440771103,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1,0.0,4,4,0
4,1.7932586669921875,-1.3288332223892212,-363.2561340332031,-0.16020268201828003,0.8489174246788025,0.0036983489990234375,58,0,67,0.01126533281058073,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.0,3,3,0
8,1.2473701238632202,-0.6429471969604492,-517.1653442382812,-0.7080097198486328,1.7172439098358154,0.11362087726593018,25,0,100,0.0091880913823843,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.0,3,3,0
12,1.4520701169967651,-0.8712841272354126,-512.1323852539062,-0.7202553153038025,1.747965693473816,0.10056763887405396,28,0,101,0.011412552557885647,0.5376344086021506,0.3,120,129,wall,both,1,1,1,1,1,1,0.0,4,4,0
16,0.719680905342102,-0.21402502059936523,-198.7110595703125,-0.1418732851743698,0.7903103828430176,0.027449429035186768,96,0,30,0.022727450355887413,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1,0.0,4,4,0
20,2.3527801036834717,-2.2874274253845215,-212.5113525390625,-0.1601397544145584,0.8418896198272705,0.025400936603546143,93,0,32,0.021156344562768936,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.0,2,2,0
24,1.2951552867889404,-0.6931517124176025,-225.34011840820312,-0.11269250512123108,0.6887989044189453,0.042176127433776855,90,0,34,0.028144868090748787,0.5474452554744526,0.3,120,124,wall,both,1,1,1,1,1,1,0.0,6,6,0
28,6.65751838684082,-18.31510353088379,-640.5736694335938,-0.07381056994199753,0.5758073925971985,0.00568389892578125,28,5,92,0.0483110211789608,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.0,4,4,0
32,3.3136208057403564,-4.537223815917969,-485.3324890136719,-0.10331985354423523,0.6799676418304443,0.011859536170959473,60,2,65,0.07791046798229218,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1,0.0,4,4,0
36,0.6252020001411438,-0.1615196317434311,-603.1183471679688,-0.028611471876502037,0.35162192583084106,0.0166856050491333,72,0,88,0.03615491837263107,0.48387096774193555,0.3,120,160,wall,both,1,1,1,1,1,1,0.0,4,4,0
40,0.32208070158958435,-0.04286610335111618,-540.367919921875,-0.011900285258889198,0.22718948125839233,0.010267257690429688,81,2,73,0.031189054250717163,0.49019607843137253,0.3,120,156,wall,both,1,1,1,1,1,1,0.0,5,5,0
44,1.5710383653640747,-1.0199013948440552,-279.4893798828125,-0.22790579497814178,1.0127009153366089,0.0008398890495300293,79,0,52,0.03877565264701843,0.5338078291814947,0.3,120,131,wall,both,1,1,1,1,1,1,0.0,4,4,0
