frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,5.738521575927734,-13.607697486877441,-219.20101928710938,-1.6763923168182373,1.1295913457870483,0.5841628909111023,97,0,30,0.030110379680991173,0.5415162454873647,0.3,116,127,wall,both,1,1,1,1,1,1
4,2.9182260036468506,-3.5190258026123047,-599.2145385742188,-0.35687437653541565,1.2396260499954224,0.06140792369842529,124,4,33,0.01621633768081665,0.48231511254019294,0.3,120,161,wall,both,1,1,1,1,1,1
8,2.114518642425537,-1.847598671913147,-192.24749755859375,-0.007313406094908714,0.16954517364501953,0.015058159828186035,123,0,18,0.01194512378424406,0.5154639175257733,0.3,120,141,wall,both,1,1,1,1,1,1
12,2.936985492706299,-3.5644147396087646,-199.76272583007812,-0.10104047507047653,0.6734849810600281,0.007739126682281494,110,0,16,0.012635372579097748,0.5434782608695653,0.3,115,126,wall,both,1,1,1,1,1,1
16,1.4116215705871582,-0.8234195709228516,-284.47930908203125,-0.494750440120697,1.4920519590377808,0.0029331445693969727,106,3,26,0.02002662792801857,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
20,3.966358184814453,-6.500824928283691,-189.4685821533203,-0.5396037101745605,1.5582679510116577,0.0009807944297790527,98,0,32,0.01146447379142046,0.5357142857142857,0.3,104,130,wall,both,1,1,1,1,1,1
24,2.5738213062286377,-2.737419605255127,-516.132568359375,-0.18662744760513306,0.8070930242538452,0.10128504037857056,77,2,45,0.02309410646557808,0.5474452554744526,0.3,91,124,wall,both,1,1,1,1,1,1
28,0.348183274269104,-0.05009569600224495,-341.5896911621094,-0.20390698313713074,0.9578955769538879,0.0009768009185791016,115,7,32,0.010817368514835835,0.49342105263157904,0.3,120,154,wall,both,1,1,1,1,1,1
32,0.5746535062789917,-0.13645729422569275,-528.57958984375,-0.4580228328704834,1.2368135452270508,0.1700926423072815,113,4,32,0.014018976129591465,0.5016722408026756,0.3,120,149,wall,both,1,1,1,1,1,1
36,0.80668044090271,-0.268898069858551,-276.35943603515625,-0.23146703839302063,1.011755347251892,0.031263887882232666,66,0,39,0.012579686008393764,0.5882352941176471,0.3,96,105,wall,both,1,1,1,1,1,1
