stage,traversal,candidate_id,seed_count,ape_raw_rmse_mean,ape_raw_rmse_min,ape_raw_rmse_max,ape_align_rmse_mean,ape_align_rmse_min,ape_align_rmse_max,rpe_2m_align_rmse_mean,rpe_2m_align_rmse_min,rpe_2m_align_rmse_max,rpe_5m_align_rmse_mean,rpe_5m_align_rmse_min,rpe_5m_align_rmse_max,rpe_10m_align_rmse_mean,rpe_10m_align_rmse_min,rpe_10m_align_rmse_max,cross_track_mean_mean,cross_track_mean_min,cross_track_mean_max,row_correct_fraction_mean,row_correct_fraction_min,row_correct_fraction_max,wrong_row_duration_sec_mean,wrong_row_duration_sec_min,wrong_row_duration_sec_max,headland_cross_track_mean_mean,headland_cross_track_mean_min,headland_cross_track_mean_max,inrow_cross_track_mean_mean,inrow_cross_track_mean_min,inrow_cross_track_mean_max
full,rh_run1,baseline_alpha_huber3_cap50,3,1.01016011323599,0.8317419462096273,1.1699605835493467,0.9699107090698201,0.8003016105973965,1.1296187905022776,3.3716936242117144,3.2970422385885354,3.470681181795142,6.9861588327384965,6.656088691406744,7.298472056306942,12.181148887547414,11.978094563640338,12.368883977255333,1.3150589649307165,1.2745275964280967,1.3595294245670346,0.736842105263158,0.7192982456140351,0.7543859649122807,420.0,392.0,448.0,1.5793542465285861,1.561990006790112,1.5885811066871602,1.0385654395667914,0.9459793087724605,1.1210458906467473
full,rh_run1,delayed_correction,3,0.9560645728051208,0.8999484006247362,1.0262138080431664,0.9135962797296958,0.8805799304421049,0.9646978215211951,3.2707445558884953,3.1969665886988934,3.333400883940976,6.643244492168894,6.454508082072449,6.811820663639187,11.987268607659189,11.73268066031099,12.450579569560833,1.278498031511612,1.2445118953465855,1.2958001182116954,0.7142857142857143,0.6892230576441103,0.731829573934837,456.0,428.0,496.0,1.4700493678011057,1.4226038895741635,1.4960195437404842,1.0781058643164492,1.0582002706161966,1.091042125478861
full,rh_run1,row_mixture,3,1.158562191522752,0.8856301506060499,1.364337003295795,1.1178479715011493,0.8585819436558203,1.3079114710654387,3.396375075720144,3.333534200688037,3.4602507097716804,6.976660801120093,6.863671038314872,7.088176757916066,12.311640713621708,12.173170514700859,12.401144241610345,1.3842017943286624,1.3240819327792828,1.4620645991417056,0.7034252297410193,0.6040100250626567,0.7744360902255639,473.3333333333333,360.0,632.0,1.6052096981789425,1.5448093596286634,1.64587098733336,1.1529935256852923,1.0093289573008908,1.26977483918736
full,rh_run1,row_mixture_delayed,3,0.995989114724045,0.8800569101029411,1.1731514380985106,0.9587852713351915,0.8703717655995873,1.1162595689716595,3.25033710737268,3.183272374781174,3.2847197782163637,6.947415891249673,6.725400752622195,7.076964977821125,12.011499927039035,11.817005352503077,12.290511957427277,1.285275620781215,1.1959519098515394,1.397226734388575,0.7234753550543024,0.7192982456140351,0.7268170426065163,441.3333333333333,436.0,448.0,1.4592485146609426,1.4473985273950192,1.4823973233430014,1.1032732087224228,0.9323234595324279,1.3447393201664486
full,rh_run1,row_mixture_delayed_gnss_gating,3,1.0313816813367926,0.9468580033404608,1.0904511076494259,0.980405645747693,0.9376385104920968,1.0408315011369296,3.3120083125623876,3.2789526614515387,3.3380218672281328,6.749667421140625,6.652699238464122,6.849349299333617,11.798170831254007,11.463436154648932,12.271205377152725,1.243583869333962,1.2302589028879658,1.2655045483217808,0.710108604845447,0.6942355889724311,0.7218045112781954,462.6666666666667,444.0,488.0,1.4474142477069682,1.4011068411202092,1.4770608842849549,1.0303459350360475,0.9720660608111158,1.0612024562643125
full,rh_run2,baseline_alpha_huber3_cap50,3,0.9494746587758575,0.8690787881345349,1.0734977542498454,0.8753893543010131,0.8460887197094589,0.929867468541151,3.3763052023234663,3.326653185655411,3.4492153328758848,6.9507492630552,6.722564780427919,7.1875006288818994,12.52404898976999,11.997763214132574,12.976227697012169,1.4638560169706505,1.4332502515765126,1.51919873846291,0.6734520780322306,0.638676844783715,0.7073791348600509,513.3333333333334,460.0,568.0,1.6922472640501216,1.6215000209458066,1.7602642724525202,1.1822599907419844,1.110552452502143,1.2219758925779924
full,rh_run2,delayed_correction,3,0.9947051019014518,0.9648971313652529,1.0133688382169697,0.9045227599982919,0.8843747520798373,0.9409350823715916,3.2400929420729985,3.2392318885084745,3.2414015042259448,6.357951234363267,6.264727713821133,6.514175316934965,11.522095636233592,11.208853523529777,11.726336553827544,1.367126190292893,1.3455422072504344,1.39283677085468,0.6734520780322306,0.6590330788804071,0.6870229007633588,513.3333333333334,492.0,536.0,1.553257831852773,1.4921913857823383,1.5889127339331008,1.1376343367787227,1.0970885534210557,1.1647304359923483
full,rh_run2,row_mixture,3,1.0293074656008743,0.9276596466230173,1.082391234043686,0.9290531168301385,0.8679084254885442,0.966463353799811,3.3734432793515574,3.312156892202183,3.4167842446576513,6.862029293367158,6.805134059999914,6.927557256618903,12.774503564360549,12.631820791541207,12.984779144530673,1.4303208624263848,1.3668475238489006,1.5124241867948414,0.7031382527565734,0.6539440203562341,0.7480916030534351,466.6666666666667,396.0,544.0,1.6867275787533733,1.6215552690919681,1.758707182790224,1.1141830360459501,1.052804451588983,1.2087684474141704
full,rh_run2,row_mixture_delayed,3,0.9790190675163911,0.8479807145121154,1.1268887602094095,0.8827914563876132,0.825721150671371,0.9810300490526203,3.249021829321146,3.210814754010944,3.30773300730766,6.730179762314527,6.641082144986284,6.8918444586243615,12.107952622482657,11.772171190851491,12.649978490306017,1.3168955253875803,1.2895799368406171,1.335846413233817,0.7234944868532655,0.7073791348600509,0.7506361323155216,434.6666666666667,392.0,460.0,1.5200125884098352,1.470585453094395,1.561771318993877,1.0664614192749133,1.0336527990399615,1.0993230959616034
full,rh_run2,row_mixture_delayed_gnss_gating,3,0.9523480345774605,0.8520813691849911,1.0366742856137356,0.8846804673842029,0.8296876625891421,0.9433328361052741,3.1765395068761824,3.1558567478436568,3.213358497939923,6.342104534940302,6.145044846633461,6.551950418006027,11.439460406335849,10.9165987290999,11.777772755250094,1.3325886593697156,1.3069006542255812,1.3585504309295213,0.7167090754877014,0.6946564885496184,0.7557251908396947,445.3333333333333,384.0,480.0,1.533962068597754,1.478540872907058,1.566163404324612,1.0843043991283274,1.055064059278829,1.1025730716867108
