frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,3.379239320755005,-4.718701362609863,-236.8583526611328,-0.24815161526203156,0.855201780796051,0.14483821392059326,94,0,32,0.04524143785238266,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1
4,1.611953616142273,-1.073716640472412,-642.4554443359375,-1.6396960020065308,2.6506433486938477,0.13857758045196533,13,3,109,0.007622952107340097,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
8,0.20911335945129395,-0.018069583922624588,-412.37664794921875,-0.00739717110991478,0.1605105847120285,0.020239055156707764,63,0,62,0.009790603071451187,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
12,2.8942058086395264,-3.4613335132598877,-398.166015625,-0.007230990566313267,0.13671016693115234,0.02745985984802246,66,0,63,0.011081616394221783,0.5376344086021506,0.3,120,129,wall,both,1,1,1,1,1,1
16,1.915069818496704,-1.5154926776885986,-418.817138671875,-0.00826405081897974,0.14941845834255219,0.028445959091186523,65,0,61,0.02282092720270157,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1
20,4.361474990844727,-7.860522270202637,-698.3299560546875,-0.30359432101249695,1.1688284873962402,0.0008856654167175293,10,0,115,0.03625582158565521,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
24,1.3177459239959717,-0.7175430655479431,-393.46124267578125,-0.01406670082360506,0.23590965569019318,0.020404040813446045,62,0,62,0.027214711531996727,0.5474452554744526,0.3,120,124,wall,both,1,1,1,1,1,1
28,1.440996766090393,-0.8580460548400879,-377.4215087890625,-0.0036391878966242075,0.04931962117552757,0.027553021907806396,88,0,37,0.03087756782770157,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
32,1.623483657836914,-1.0891318321228027,-456.4010314941406,-0.011661061085760593,0.07803936302661896,0.050253212451934814,87,0,40,0.04053356871008873,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1
36,3.58123517036438,-5.29968786239624,-619.3665161132812,-0.026959165930747986,0.3479883670806885,0.0034636259078979492,59,0,101,0.03263484686613083,0.48387096774193555,0.3,120,160,wall,both,1,1,1,1,1,1
40,1.902214765548706,-1.4952152967453003,-503.6434326171875,-0.0035844524390995502,0.05002295598387718,0.027238845825195312,114,3,39,0.03361320123076439,0.49019607843137253,0.3,120,156,wall,both,1,1,1,1,1,1
44,1.0762149095535278,-0.47861093282699585,-434.7246398925781,-0.0033344198018312454,0.030308278277516365,0.027693331241607666,67,0,64,0.045494481921195984,0.5338078291814947,0.3,120,131,wall,both,1,1,1,1,1,1
48,4.152010440826416,-7.123632431030273,-220.4338836669922,-0.020356640219688416,0.2968708276748657,0.013750016689300537,110,0,20,0.04404991865158081,0.5357142857142857,0.3,120,130,wall,both,1,1,1,1,1,1
52,2.4562439918518066,-2.493030548095703,-576.9299926757812,-0.048116814345121384,0.43314847350120544,0.03967219591140747,86,3,47,0.04093674197793007,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
56,2.830986499786377,-3.31177020072937,-412.1556091308594,-0.006342899985611439,0.16586852073669434,0.007490992546081543,108,0,31,0.029050888493657112,0.5190311418685121,0.3,120,139,wall,both,1,1,1,1,1,1
60,3.68874192237854,-5.62265157699585,-424.2569885253906,-0.07759399712085724,0.5862804651260376,0.01722276210784912,98,10,28,0.1202235221862793,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
64,3.5984489917755127,-5.350758075714111,-620.569580078125,-0.0007493788143619895,0.04641896113753319,0.008141577243804932,84,0,55,0.0422210767865181,0.5190311418685121,0.3,120,139,wall,both,1,1,1,1,1,1
68,3.154717206954956,-4.1124958992004395,-395.02923583984375,-0.17372263967990875,0.8823274374008179,0.013302385807037354,91,6,38,0.13458451628684998,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
72,1.1234524250030518,-0.5215476751327515,-326.1205139160156,-0.09428071230649948,0.6433244943618774,0.023791790008544922,103,5,24,0.04191116988658905,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1
76,0.2257390320301056,-0.021057069301605225,-527.22509765625,-0.00033676321618258953,0.03203638643026352,0.005160331726074219,81,3,51,0.07890184223651886,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
80,2.5049328804016113,-2.592846393585205,-453.9373474121094,-0.14571984112262726,0.7234526872634888,0.0848882794380188,92,0,40,0.04486487805843353,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1
84,2.879824638366699,-3.42702054977417,-372.8144226074219,-0.19666582345962524,0.911236584186554,0.054544150829315186,108,3,25,0.036915358155965805,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
88,2.5117807388305664,-2.607042074203491,-242.1064453125,-0.3185392916202545,1.1972576379776,0.00022715330123901367,87,0,40,0.06394448131322861,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1
92,2.3102688789367676,-2.2055132389068604,-286.060546875,-0.09207934141159058,0.6431936025619507,0.005989968776702881,86,0,40,0.052706278860569,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1
96,2.072601795196533,-1.775073528289795,-273.4287109375,-0.25717079639434814,0.9966760277748108,0.09446555376052856,106,0,32,0.044098664075136185,0.5208333333333334,0.3,120,138,wall,both,1,1,1,1,1,1
100,4.106106281280518,-6.966987133026123,-693.4653930664062,-0.0716107189655304,0.5676625967025757,0.0006355047225952148,93,17,37,0.03162253648042679,0.5050505050505051,0.3,120,147,wall,both,1,1,1,1,1,1
104,1.5687984228134155,-1.0169951915740967,-297.0551452636719,-0.4813896417617798,0.9963086247444153,0.2527790069580078,99,2,34,0.040994271636009216,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
108,4.010421276092529,-6.6460652351379395,-641.2053833007812,-0.03378044068813324,0.3869800567626953,0.01108860969543457,71,12,49,0.024776091799139977,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1
112,3.6485047340393066,-5.500655174255371,-269.3908996582031,-1.2565231323242188,1.640631079673767,0.40162378549575806,76,0,44,0.02705457992851734,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1
116,1.5203768014907837,-0.9551841020584106,-313.722412109375,-0.22087079286575317,0.959792971611023,0.0629204511642456,78,0,43,0.0327330119907856,0.5535055350553506,0.3,120,121,wall,both,1,1,1,1,1,1
120,1.9544082880020142,-1.5783932209014893,-291.2694396972656,-1.1482130289077759,2.165891170501709,0.16096186637878418,69,0,51,0.030362939462065697,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1
124,4.3237152099609375,-7.725005149841309,-306.827392578125,-0.5070617198944092,1.510554313659668,0.0004353523254394531,73,0,52,0.022579938173294067,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
128,3.2585277557373047,-4.387604236602783,-369.29669189453125,-0.23466376960277557,1.0276111364364624,0.0003573894500732422,82,2,52,0.05540589243173599,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
132,1.8649166822433472,-1.4371546506881714,-291.1195983886719,-0.30642324686050415,1.1742676496505737,6.824731826782227e-05,81,0,44,0.023562554270029068,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1
136,1.508599877357483,-0.9404436349868774,-455.00982666015625,-0.19851070642471313,0.9439583420753479,0.011045217514038086,80,0,67,0.019952479749917984,0.5050505050505051,0.3,120,147,wall,both,1,1,1,1,1,1
140,3.6307811737060547,-5.447343826293945,-467.3896179199219,-0.37720292806625366,1.3028457164764404,0.0005812644958496094,72,2,67,0.03583541139960289,0.5154639175257733,0.3,120,141,wall,both,1,1,1,1,1,1
144,2.5125820636749268,-2.608705759048462,-762.4043579101562,-0.4313722550868988,1.393230676651001,0.0021314024925231934,60,15,71,0.07560332119464874,0.5067567567567568,0.3,120,146,wall,both,1,1,1,1,1,1
148,1.7881243228912354,-1.321234941482544,-562.92333984375,-0.4706263244152069,1.4552661180496216,0.0010145306587219238,57,7,71,0.05503888055682182,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
152,1.430383324623108,-0.8454530239105225,-514.8353271484375,-0.47596901655197144,1.4632271528244019,0.006709694862365723,62,0,70,0.073631651699543,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1
156,1.6594802141189575,-1.1379646062850952,-383.1844787597656,-0.22736823558807373,1.0115110874176025,0.00035840272903442383,57,0,63,0.03630029037594795,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1
160,4.319558620452881,-7.7101593017578125,-544.31201171875,-0.26700469851493835,1.0896492004394531,0.02779102325439453,41,3,82,0.03567400947213173,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1
164,1.5106760263442993,-0.9430338740348816,-533.71484375,-0.2775617241859436,1.1173864603042603,0.005086183547973633,58,6,70,0.05305556580424309,0.528169014084507,0.3,120,134,wall,both,1,1,1,1,1,1
168,5.866199970245361,-14.219959259033203,-466.1270751953125,-0.23384058475494385,1.0244237184524536,0.012431800365447998,49,1,78,0.0403408445417881,0.539568345323741,0.3,120,128,wall,both,1,1,1,1,1,1
172,1.3768311738967896,-0.7833322286605835,-498.24664306640625,-0.4596834182739258,1.4369792938232422,0.014127612113952637,52,4,79,0.02635645680129528,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1
176,3.249683141708374,-4.363818168640137,-806.9288330078125,-0.05763531103730202,0.4622702896595001,0.049861907958984375,52,15,81,0.03695845976471901,0.5033557046979865,0.3,120,148,wall,both,1,1,1,1,1,1
180,2.992125988006592,-3.6995112895965576,-488.5893859863281,-0.49637511372566223,1.49454927444458,0.0007491111755371094,65,7,68,0.0754350796341896,0.5172413793103449,0.3,120,140,wall,both,1,1,1,1,1,1
184,0.5495742559432983,-0.12480655312538147,-577.1393432617188,-0.43166863918304443,1.3935192823410034,0.005776524543762207,65,10,74,0.060241710394620895,0.5016722408026756,0.3,120,149,wall,both,1,1,1,1,1,1
188,2.5654754638671875,-2.719696044921875,-629.0775756835938,-0.17709369957447052,0.8868536353111267,0.023809432983398438,66,13,71,0.042324066162109375,0.5,0.3,120,150,wall,both,1,1,1,1,1,1
192,4.6050190925598145,-8.762892723083496,-547.3314819335938,-0.3503826856613159,1.2556684017181396,0.001016378402709961,67,11,72,0.04154885187745094,0.5,0.3,120,150,wall,both,1,1,1,1,1,1
196,1.8631693124771118,-1.4344626665115356,-377.09454345703125,-0.5354961156845093,1.5522996187210083,0.002315342426300049,70,0,64,0.02301514521241188,0.528169014084507,0.3,120,134,wall,both,1,1,1,1,1,1
200,2.0131025314331055,-1.674620509147644,-617.9768676757812,-0.03887308016419411,0.08700961619615555,0.0954553484916687,57,0,76,0.020467044785618782,0.5300353356890459,0.3,120,133,wall,both,1,1,1,1,1,1
204,1.9518507719039917,-1.5742650032043457,-458.4553527832031,-0.1050669327378273,0.6874171495437622,0.0037540197372436523,61,0,75,0.01927482709288597,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1
208,2.655540943145752,-2.9140071868896484,-373.4664611816406,-0.5242469906806946,1.5357675552368164,0.0053691864013671875,61,0,73,0.02517789974808693,0.528169014084507,0.3,120,134,wall,both,1,1,1,1,1,1
212,3.3148977756500244,-4.540721893310547,-470.9307556152344,-0.07351218909025192,0.5680262446403503,0.02106606960296631,61,0,76,0.01822582446038723,0.5226480836236934,0.3,120,137,wall,both,1,1,1,1,1,1
216,0.7106281518936157,-0.20867452025413513,-341.2572326660156,-0.39346733689308167,1.3306095600128174,0.002103745937347412,57,0,63,0.016348982229828835,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1
220,0.6244547963142395,-0.1611337810754776,-316.1454772949219,-0.0009590572444722056,0.06568615138530731,0.00024330615997314453,110,0,10,0.014447605237364769,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1
224,1.098563551902771,-0.4986949563026428,-450.3603210449219,-0.11695758253335953,0.7226288914680481,0.014970839023590088,58,0,69,0.021096406504511833,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1
